query_id	bpref
1	0.1899
3	0.2138
4	0.1434
5	0.6156
6	0.2591
7	0.2555
8	0.0321
9	0.2193
10	0.0729
11	0.2378
12	0.1586
13	0.3116
14	0.0698
15	0.1507
16	0.0000
17	0.0069
18	0.1453
19	0.1209
20	0.6339
23	0.0211
24	0.0069
25	0.2584
26	0.1122
27	0.3333
28	0.0000
29	0.1389
30	0.0000
31	1.0000
32	0.0000
33	0.1953
34	0.0000
35	1.0000
36	0.0556
37	0.0000
38	0.1353
39	0.0000
40	0.2891
41	0.0781
42	0.1561
44	0.0259
45	0.0000
46	0.0166
47	0.2886
48	0.0000
49	0.0000
50	0.0000
52	0.7374
53	0.4667
54	0.4160
55	0.0308
56	0.6219
57	0.7731
58	0.6107
59	0.0726
60	0.0000
61	0.0952
62	0.4771
63	0.0000
64	0.0085
65	0.0000
66	0.0000
67	0.0052
68	0.1527
69	0.0508
70	0.1081
71	0.1199
72	0.1111
73	0.0026
74	0.0132
76	0.0000
77	0.4495
79	0.0000
80	0.1280
81	0.1600
82	0.0000
83	0.0392
84	0.1118
85	0.1143
86	0.1243
87	0.0486
88	0.0101
89	0.0235
90	0.2436
91	0.0000
92	0.2693
93	0.0000
94	0.0083
95	0.0430
96	0.0000
97	0.7300
98	0.6281
99	0.6839
100	0.3036
101	0.2213
102	0.1725
103	0.0226
104	0.0048
105	0.0000
106	0.0942
107	0.0436
108	0.0742
109	0.0000
110	0.2873
111	0.3704
112	0.0202
113	0.0100
114	0.1158
115	0.2276
116	0.0227
117	0.5377
118	0.2365
119	0.2862
120	0.0355
121	0.0080
122	0.3923
123	0.2343
124	0.1946
125	0.2300
126	0.0078
127	0.0621
128	0.0719
129	0.2439
130	0.1903
131	0.1173
132	0.6864
133	0.0990
134	0.2562
135	0.7263
136	0.2012
137	0.3343
138	0.0000
139	0.0761
140	0.0712
141	0.0442
142	0.3381
143	0.2875
144	0.0364
145	0.0785
146	0.0439
147	0.0102
148	0.0916
149	0.0000
150	0.2603
