query_id	bpref
1	0.176
3	0.1812
4	0.0839
5	0.6188
6	0.2461
7	0.3133
8	0.0
9	0.2275
10	0.1407
11	0.2729
12	0.1451
13	0.5004
14	0.0068
15	0.2024
16	0.0
17	0.0
18	0.1601
19	0.1236
20	0.8188
23	0.0277
24	0.0069
25	0.2117
26	0.148
27	0.4722
28	0.0582
29	0.0
30	0.0
31	1.0
32	0.0
33	0.1775
34	0.0
35	1.0
36	0.0
37	0.0
38	0.1261
39	0.0
40	0.2823
41	0.0938
42	0.2181
44	0.0126
45	0.0
46	0.0194
47	0.1551
48	0.0
49	0.0
50	0.0
52	0.7818
53	0.4973
54	0.423
55	0.0285
56	0.6335
57	0.7726
58	0.6985
59	0.07
60	0.0139
61	0.1971
62	0.4683
63	0.0
64	0.0105
65	0.0
66	0.0
67	0.0115
68	0.1894
69	0.2266
70	0.0983
71	0.1485
72	0.1367
73	0.0072
74	0.0165
76	0.0104
77	0.4443
79	0.0
80	0.1533
81	0.1379
82	0.0
83	0.0435
84	0.0218
85	0.1144
86	0.0533
87	0.0526
88	0.0615
89	0.0867
90	0.2147
91	0.0
92	0.0871
93	0.0
94	0.0078
95	0.0572
96	0.0
97	0.6856
98	0.6323
99	0.7191
100	0.2271
101	0.1506
102	0.0875
103	0.022
104	0.001
105	0.0
106	0.0826
107	0.0643
108	0.0741
109	0.0
110	0.2012
111	0.3923
112	0.0
113	0.0112
114	0.109
115	0.1418
116	0.0
117	0.4826
118	0.2723
119	0.3054
120	0.0414
121	0.0105
122	0.3453
123	0.3639
124	0.256
125	0.1946
126	0.0078
127	0.0487
128	0.0351
129	0.3152
130	0.1494
131	0.0561
132	0.7521
133	0.1035
134	0.5702
135	0.7224
136	0.2012
137	0.4658
138	0.0
139	0.028
140	0.094
141	0.0933
142	0.3108
143	0.2964
144	0.0372
145	0.1309
146	0.0592
147	0.0551
148	0.1771
149	0.0
150	0.2646
