query_id	bpref
1	0.1913
3	0.2045
4	0.1124
5	0.6106
6	0.3117
7	0.2609
8	0.0321
9	0.209
10	0.0665
11	0.2337
12	0.1523
13	0.5141
14	0.0552
15	0.1885
16	0.0
17	0.0069
18	0.15
19	0.1196
20	0.6412
23	0.034
24	0.0068
25	0.2577
26	0.1122
27	0.3611
28	0.0166
29	0.2222
30	0.0
31	1.0
32	0.0
33	0.2071
34	0.0
35	1.0
36	0.1667
37	0.0
38	0.1313
39	0.0
40	0.2866
41	0.0
42	0.2175
44	0.0259
45	0.0
46	0.0173
47	0.2531
48	0.0
49	0.0
50	0.0
52	0.7422
53	0.4652
54	0.4087
55	0.0326
56	0.6083
57	0.7718
58	0.6171
59	0.0747
60	0.0
61	0.093
62	0.4711
63	0.0
64	0.0043
65	0.0
66	0.0
67	0.0052
68	0.1477
69	0.0547
70	0.1019
71	0.1194
72	0.1128
73	0.0075
74	0.0132
76	0.0
77	0.4488
79	0.0
80	0.1298
81	0.1617
82	0.0
83	0.0392
84	0.1073
85	0.1135
86	0.1213
87	0.0258
88	0.0132
89	0.0233
90	0.2516
91	0.0
92	0.2513
93	0.0
94	0.0087
95	0.0384
96	0.0
97	0.7313
98	0.6198
99	0.6866
100	0.2952
101	0.1928
102	0.1525
103	0.0225
104	0.0075
105	0.0
106	0.1014
107	0.0418
108	0.0739
109	0.0
110	0.2702
111	0.3681
112	0.019
113	0.0108
114	0.1121
115	0.2278
116	0.0227
117	0.5348
118	0.2368
119	0.2859
120	0.0316
121	0.0066
122	0.3757
123	0.2346
124	0.1977
125	0.2308
126	0.0039
127	0.0655
128	0.071
129	0.2552
130	0.2003
131	0.1276
132	0.6931
133	0.0994
134	0.281
135	0.7233
136	0.213
137	0.324
138	0.0
139	0.073
140	0.0629
141	0.0579
142	0.3389
143	0.3153
144	0.04
145	0.0734
146	0.0462
147	0.0102
148	0.1015
149	0.0
150	0.2513
