query_id	bpref
1	0.1942
3	0.1749
4	0.1005
5	0.62
6	0.2543
7	0.3169
8	0.0
9	0.2164
10	0.1271
11	0.2874
12	0.1464
13	0.511
14	0.0096
15	0.0651
16	0.0
17	0.0
18	0.1617
19	0.1234
20	0.7957
23	0.0207
24	0.0069
25	0.2176
26	0.148
27	0.4167
28	0.0499
29	0.0833
30	0.0
31	1.0
32	0.0
33	0.2663
34	0.0
35	1.0
36	0.0
37	0.0
38	0.0992
39	0.0
40	0.2406
41	0.0
42	0.2569
44	0.0129
45	0.0
46	0.0201
47	0.1613
48	0.0
49	0.0
50	0.0
52	0.8546
53	0.4974
54	0.3652
55	0.0285
56	0.6155
57	0.7704
58	0.7576
59	0.0974
60	0.0122
61	0.1681
62	0.4703
63	0.0
64	0.0146
65	0.0
66	0.0
67	0.0115
68	0.1946
69	0.2539
70	0.0956
71	0.1454
72	0.1347
73	0.0074
74	0.0165
76	0.0106
77	0.4454
79	0.0
80	0.1515
81	0.155
82	0.0
83	0.0414
84	0.0237
85	0.1137
86	0.0754
87	0.0371
88	0.0351
89	0.1159
90	0.2205
91	0.0
92	0.1317
93	0.02
94	0.0112
95	0.0432
96	0.0
97	0.6906
98	0.6392
99	0.7013
100	0.2324
101	0.1552
102	0.19
103	0.0222
104	0.0014
105	0.0
106	0.0706
107	0.0636
108	0.0739
109	0.0
110	0.2727
111	0.3965
112	0.0107
113	0.0316
114	0.1026
115	0.1296
116	0.0
117	0.4205
118	0.2658
119	0.2668
120	0.0379
121	0.0276
122	0.2366
123	0.3637
124	0.2417
125	0.2615
126	0.0078
127	0.0632
128	0.0548
129	0.3898
130	0.1649
131	0.0612
132	0.7529
133	0.1028
134	0.595
135	0.7273
136	0.2071
137	0.455
138	0.0
139	0.0588
140	0.0831
141	0.0933
142	0.3696
143	0.2955
144	0.0436
145	0.173
146	0.0862
147	0.085
148	0.2203
149	0.0
150	0.2672
