query_id	bpref
1	0.1885
3	0.1928
4	0.1446
5	0.0869
6	0.2681
7	0.2494
8	0.0000
9	0.2193
10	0.0668
11	0.2464
12	0.1618
13	0.3116
14	0.1755
15	0.2500
16	0.0000
17	0.0000
18	0.1548
19	0.1209
20	0.6236
21	0.4518
23	0.0211
24	0.0069
25	0.2584
26	0.1122
27	0.4444
28	0.0000
29	0.2778
30	0.0000
31	1.0000
32	0.0000
33	0.0947
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.1272
39	0.0000
40	0.3027
41	0.0312
42	0.1450
44	0.0259
45	0.0000
46	0.0201
47	0.2662
48	0.0000
49	0.0000
50	0.0000
52	0.3849
53	0.4598
54	0.3229
55	0.0000
56	0.4104
57	0.7731
58	0.5688
59	0.0727
60	0.0017
61	0.0813
62	0.4842
63	0.0000
64	0.0064
65	0.0000
66	0.0000
67	0.0052
68	0.0941
69	0.0664
70	0.1081
71	0.1380
72	0.0801
73	0.0027
74	0.0078
76	0.0000
77	0.0000
79	0.0000
80	0.1293
81	0.1177
82	0.0000
83	0.0286
84	0.1046
85	0.1190
86	0.0518
87	0.0119
88	0.0308
89	0.0265
90	0.2438
91	0.0000
92	0.2858
93	0.0000
94	0.0073
95	0.0333
96	0.0000
97	0.7094
98	0.6309
99	0.6809
100	0.2039
101	0.1910
102	0.2275
103	0.0507
104	0.0048
105	0.0000
106	0.0000
107	0.0141
108	0.0742
109	0.0000
110	0.2801
111	0.3706
112	0.0202
113	0.0103
114	0.0760
115	0.2349
116	0.0416
117	0.5503
118	0.2617
119	0.2559
120	0.0361
121	0.0130
122	0.4223
123	0.1739
124	0.1909
125	0.2106
126	0.0079
127	0.0769
128	0.0254
129	0.2768
130	0.1921
131	0.1276
132	0.6860
133	0.0990
134	0.3058
135	0.6635
137	0.4094
138	0.0879
139	0.0183
140	0.0323
141	0.0471
142	0.3505
143	0.0876
144	0.0000
145	0.1046
146	0.3424
147	0.0431
148	0.1300
149	0.0000
150	0.2312
