query_id	bpref
1	0.1874
3	0.1844
4	0.1184
5	0.0869
6	0.3207
7	0.2558
8	0.0000
9	0.2090
10	0.0604
11	0.2384
12	0.1556
13	0.5141
14	0.1759
15	0.2622
16	0.0000
17	0.0069
18	0.1571
19	0.1196
20	0.6213
21	0.4575
23	0.0407
24	0.0068
25	0.2577
26	0.1122
27	0.3333
28	0.0000
29	0.2778
30	0.0000
31	1.0000
32	0.0000
33	0.1775
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.1316
39	0.0000
40	0.2976
41	0.0000
42	0.2636
44	0.0376
45	0.0000
46	0.0201
47	0.2562
48	0.0000
49	0.0000
50	0.0000
52	0.3835
53	0.4618
54	0.3118
55	0.0000
56	0.4019
57	0.7718
58	0.5772
59	0.0748
60	0.0000
61	0.0841
62	0.4789
63	0.0000
65	0.0000
66	0.0000
67	0.0039
68	0.0936
69	0.0742
70	0.1019
71	0.1319
72	0.0810
73	0.0053
74	0.0078
76	0.0000
77	0.0000
79	0.0000
80	0.1324
81	0.1207
82	0.0000
83	0.0286
84	0.1039
85	0.1223
86	0.0414
87	0.0114
88	0.0345
89	0.0235
90	0.2517
91	0.0000
92	0.2889
93	0.0000
94	0.0076
95	0.0382
96	0.0000
97	0.7056
98	0.6247
99	0.6800
100	0.2047
101	0.2167
102	0.2200
103	0.0511
104	0.0075
105	0.0000
106	0.0000
107	0.0266
108	0.0739
109	0.0000
110	0.2781
111	0.3705
112	0.0190
113	0.0107
114	0.0735
115	0.2195
116	0.0473
117	0.5466
118	0.2558
119	0.2632
120	0.0367
121	0.0135
122	0.4082
123	0.1741
124	0.1932
125	0.2080
126	0.0078
127	0.0846
128	0.0253
129	0.2877
130	0.2021
131	0.1276
132	0.6926
133	0.0994
134	0.3223
135	0.6636
137	0.3989
138	0.0915
139	0.0209
140	0.0286
141	0.0461
142	0.3454
143	0.1215
144	0.0000
145	0.1017
146	0.3386
147	0.0499
148	0.1250
149	0.0000
150	0.2325
