query_id	bpref
1	0.1723
3	0.1713
4	0.0702
5	0.0869
6	0.272
7	0.3124
8	0.0
9	0.2239
10	0.1179
11	0.2821
12	0.145
13	0.5086
14	0.0951
15	0.2455
16	0.0
17	0.0069
18	0.1756
19	0.122
20	0.779
21	0.4518
23	0.0274
24	0.0069
25	0.2104
26	0.1276
27	0.3889
28	0.036
29	0.0833
30	0.0
31	1.0
32	0.0
33	0.1243
34	0.0
35	1.0
36	0.0
37	0.0
38	0.1048
39	0.0
40	0.3469
41	0.0
42	0.2858
44	0.0139
45	0.0
46	0.0381
47	0.1049
48	0.0
49	0.0
50	0.0
52	0.3335
53	0.4992
54	0.3109
55	0.0
56	0.1687
57	0.7718
58	0.6727
59	0.0741
60	0.0
61	0.1711
62	0.468
63	0.0
65	0.0
66	0.0
67	0.0078
68	0.1133
69	0.2188
70	0.0939
71	0.1586
72	0.0981
73	0.0052
74	0.0113
76	0.0051
77	0.0
79	0.0
80	0.1546
81	0.1008
82	0.0
83	0.0483
84	0.0128
85	0.1223
86	0.0
87	0.0061
88	0.0776
89	0.0837
90	0.2094
91	0.0
92	0.2268
93	0.0051
94	0.0085
95	0.0417
96	0.0
97	0.6744
98	0.6392
99	0.6892
100	0.1409
101	0.1892
102	0.15
103	0.0595
104	0.0014
105	0.0
106	0.0
107	0.0259
108	0.0739
109	0.0
110	0.3289
111	0.3922
112	0.0101
113	0.0114
114	0.0948
115	0.141
116	0.0
117	0.5348
118	0.2824
119	0.284
120	0.0423
121	0.0167
122	0.3324
123	0.2435
124	0.2486
125	0.1335
126	0.0078
127	0.0446
128	0.037
129	0.3572
130	0.1496
131	0.0612
132	0.7551
133	0.1033
134	0.5455
135	0.6357
137	0.5299
138	0.063
139	0.0093
140	0.0391
141	0.0833
142	0.3067
143	0.1389
144	0.0
145	0.1482
146	0.4276
147	0.0603
148	0.1649
149	0.0
150	0.2474
