query_id	bpref
1	0.1919
3	0.1644
4	0.0928
5	0.0869
6	0.2545
7	0.3127
8	0.0
9	0.2207
10	0.1109
11	0.2945
12	0.1495
13	0.4545
14	0.1075
15	0.0327
16	0.0
17	0.0069
18	0.1779
19	0.1236
20	0.7254
21	0.4518
23	0.0142
24	0.0069
25	0.217
26	0.1276
27	0.3333
28	0.0277
29	0.1667
30	0.0
31	1.0
32	0.0
33	0.1657
34	0.0
35	1.0
36	0.0
37	0.0
38	0.0766
39	0.0
40	0.3724
41	0.125
42	0.2867
44	0.0139
45	0.0
46	0.0208
47	0.1721
48	0.0
49	0.0
50	0.0
52	0.3992
53	0.4993
54	0.3113
55	0.0
56	0.3906
57	0.7714
58	0.7438
59	0.1022
60	0.0
61	0.1669
62	0.4755
63	0.0
64	0.0106
65	0.0
66	0.0
67	0.0066
68	0.1192
69	0.2773
70	0.1006
71	0.1551
72	0.0974
73	0.0051
74	0.0113
76	0.0106
77	0.0
79	0.0
80	0.1541
81	0.1028
82	0.0
83	0.0549
84	0.0738
85	0.1193
86	0.0
87	0.0145
88	0.0564
89	0.0824
90	0.2223
91	0.0
92	0.2357
93	0.0
94	0.0061
95	0.0385
96	0.0
97	0.6775
98	0.6482
99	0.6618
100	0.1596
101	0.1377
102	0.1675
103	0.0598
104	0.0017
105	0.0
106	0.0
107	0.0266
108	0.0744
109	0.0
110	0.3677
111	0.3924
112	0.0107
113	0.0308
114	0.0989
115	0.1296
116	0.0
117	0.4933
118	0.2805
119	0.2819
120	0.0386
121	0.0523
122	0.2578
123	0.2466
124	0.2338
125	0.2345
126	0.0078
127	0.0964
128	0.0366
129	0.3908
130	0.1587
131	0.0612
132	0.7528
133	0.1029
134	0.5207
135	0.6742
137	0.5405
138	0.0446
139	0.0276
140	0.0369
141	0.0969
142	0.346
143	0.1094
144	0.0
145	0.1837
146	0.4072
147	0.0636
148	0.1984
149	0.0
150	0.2425
