query_id	bpref
1	0.1647
2	0.1652
3	0.1799
4	0.2707
5	0.6944
6	0.2543
7	0.3788
8	0.0773
9	0.2852
10	0.5278
11	0.2874
12	0.5328
13	0.8316
14	0.1349
15	0.4239
16	0.0184
17	0.0412
18	0.1943
19	0.1768
20	0.9481
21	0.6011
22	0.0
23	0.0271
24	0.0641
25	0.2176
26	0.199
27	0.4167
28	0.0831
29	0.0556
30	0.0
31	1.0
32	0.0
33	0.2367
34	0.0
35	1.0
36	0.5
37	0.0
38	0.1987
39	0.0
40	0.4286
41	0.0469
42	0.3705
43	0.4683
44	0.2201
45	0.0
46	0.6184
47	0.1775
48	0.0
49	0.4672
50	0.0
51	0.7106
52	0.8453
53	0.6003
54	0.4576
55	0.6768
56	0.6222
57	0.7704
58	0.7541
59	0.1486
60	0.0521
61	0.4444
62	0.4525
63	0.3333
64	0.2468
65	0.0
66	0.0
67	0.0327
68	0.1758
69	0.1211
70	0.5664
71	0.3086
72	0.0931
73	0.0214
74	0.0389
75	0.2345
76	0.1318
77	0.4454
78	0.8381
79	0.038
80	0.1247
81	0.1574
82	0.8488
83	0.2845
84	0.1086
85	0.3419
86	0.2027
87	0.0416
88	0.0351
89	0.1004
90	0.2352
91	0.0
92	0.0452
93	0.4608
94	0.2462
95	0.0868
96	0.1219
97	0.6931
98	0.6704
99	0.7032
100	0.4297
101	0.1258
102	0.2575
103	0.2456
104	0.2493
105	0.0112
106	0.1495
107	0.2899
108	0.2447
109	0.1175
110	0.4071
111	0.5721
112	0.279
113	0.0436
114	0.1598
115	0.3833
116	0.1853
117	0.3055
118	0.2745
119	0.3285
120	0.0536
121	0.03
122	0.2441
123	0.3726
124	0.3013
125	0.3647
126	0.4335
127	0.2589
128	0.1548
129	0.5133
130	0.6137
131	0.0357
132	0.7529
133	0.582
134	0.8099
135	0.6824
136	0.2426
137	0.4166
138	0.1124
139	0.098
140	0.1408
141	0.0615
142	0.3627
143	0.3157
144	0.074
145	0.2865
146	0.4862
147	0.1944
148	0.2067
149	0.0704
150	0.4337
