query_id	bpref
1	0.1661
2	0.1651
3	0.1833
4	0.2713
5	0.7094
6	0.2544
7	0.3763
8	0.0761
9	0.2905
10	0.5254
11	0.2885
12	0.5319
13	0.7537
14	0.1331
15	0.423
16	0.0184
17	0.0413
18	0.1947
19	0.1825
20	0.9486
21	0.6011
22	0.0
23	0.0069
24	0.0637
25	0.217
26	0.199
27	0.4722
28	0.0859
29	0.0833
30	0.0
31	1.0
32	0.0
33	0.284
34	0.0
35	1.0
36	0.5556
37	0.0
38	0.199
39	0.0
40	0.4286
41	0.1406
42	0.3775
43	0.4694
44	0.3506
45	0.0
46	0.5353
47	0.2948
48	0.0
49	0.464
50	0.0
51	0.6821
52	0.8439
53	0.6015
54	0.4593
55	0.6752
56	0.6497
57	0.7714
58	0.7544
59	0.1486
60	0.0608
61	0.4427
62	0.4556
63	0.3333
64	0.2541
65	0.0
66	0.0
67	0.0328
68	0.1761
69	0.1211
70	0.5722
71	0.3088
72	0.0938
73	0.018
74	0.0377
75	0.233
76	0.1319
77	0.446
78	0.8403
79	0.0364
80	0.1248
81	0.1544
82	0.8512
83	0.2844
84	0.1089
85	0.3411
86	0.1982
87	0.0493
88	0.0347
89	0.0998
90	0.2341
91	0.0
92	0.0452
93	0.4822
94	0.2933
95	0.19
96	0.1437
97	0.695
98	0.6724
99	0.7073
100	0.4343
101	0.1267
102	0.2575
103	0.247
104	0.2493
105	0.0121
106	0.147
107	0.2877
108	0.2472
109	0.11
110	0.3929
111	0.5716
112	0.2766
113	0.0414
114	0.1606
115	0.3858
116	0.189
117	0.304
118	0.2764
119	0.3153
120	0.0521
121	0.0304
122	0.2474
123	0.3727
124	0.3014
125	0.3633
126	0.4434
127	0.259
128	0.1542
129	0.5103
130	0.6132
131	0.0357
132	0.7531
133	0.5798
134	0.8099
135	0.6829
136	0.2308
137	0.4158
138	0.1121
139	0.0957
140	0.1395
141	0.083
142	0.3541
143	0.2781
144	0.0724
145	0.2871
146	0.4883
147	0.1967
148	0.2066
149	0.0706
150	0.438
