query_id	map
1	0.0418
3	0.0388
4	0.0558
5	0.1012
6	0.1515
7	0.1664
8	0.0
9	0.1238
10	0.0031
11	0.0661
12	0.0065
13	0.1096
14	0.0044
15	0.0036
16	0.0
17	0.0
18	0.0378
19	0.0086
20	0.3366
23	0.0001
24	0.0
25	0.11
26	0.0821
27	0.4756
28	0.0482
29	0.0259
30	0.0
31	0.5
32	0.0
33	0.0328
34	0.0
35	1.0
36	0.0178
37	0.0
38	0.005
39	0.0
40	0.025
41	0.0051
42	0.0135
44	0.0
45	0.0
46	0.0001
47	0.0205
48	0.0
49	0.0
50	0.0
52	0.7112
53	0.2972
54	0.2737
55	0.0004
56	0.4902
57	0.6533
58	0.6659
59	0.0133
60	0.0017
61	0.1491
62	0.2978
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0002
68	0.1025
69	0.2166
70	0.022
71	0.0148
72	0.005
73	0.0
74	0.0006
76	0.0
77	0.3541
79	0.0
80	0.015
81	0.1415
82	0.0
83	0.0009
84	0.0002
85	0.023
86	0.0553
87	0.001
88	0.0444
89	0.0548
90	0.0472
91	0.0
92	0.0056
93	0.0
94	0.0004
95	0.0011
96	0.0
97	0.4146
98	0.4191
99	0.5254
100	0.0242
101	0.1674
102	0.1015
103	0.0001
104	0.0008
105	0.0
106	0.0018
107	0.003
108	0.0052
109	0.0
110	0.0497
111	0.1205
112	0.0
113	0.0002
114	0.0389
115	0.0028
116	0.0022
117	0.3256
118	0.0613
119	0.0691
120	0.0015
121	0.0122
122	0.2861
123	0.2284
124	0.2461
125	0.0272
126	0.0
127	0.0011
128	0.0068
129	0.2413
130	0.0156
131	0.0112
132	0.6962
133	0.0225
134	0.1613
135	0.2801
136	0.2717
137	0.3396
138	0.0
139	0.0333
140	0.0579
141	0.1092
142	0.1083
143	0.078
144	0.0005
145	0.0296
146	0.0017
147	0.0009
148	0.033
149	0.0
150	0.0721
