query_id	map
1	0.0516
3	0.0362
4	0.066
5	0.111
6	0.0828
7	0.1562
8	0.0
9	0.1344
10	0.0018
11	0.0589
12	0.0069
13	0.1008
14	0.0053
15	0.0003
16	0.0
17	0.0
18	0.0178
19	0.0081
20	0.3356
23	0.0001
24	0.0
25	0.1503
26	0.0829
27	0.4148
28	0.0295
29	0.0324
30	0.0
31	0.5
32	0.0
33	0.067
34	0.0
35	1.0
36	0.0162
37	0.0
38	0.0031
39	0.0
40	0.0154
41	0.0005
42	0.0183
44	0.0
45	0.0
46	0.0001
47	0.0448
48	0.0
49	0.0
50	0.0
52	0.7664
53	0.2933
54	0.1683
55	0.0004
56	0.4828
57	0.6509
58	0.6998
59	0.017
60	0.0009
61	0.1208
62	0.2985
63	0.0
64	0.0001
65	0.0
66	0.0
67	0.0002
68	0.0977
69	0.2162
70	0.0216
71	0.0134
72	0.0042
73	0.0001
74	0.0005
76	0.0
77	0.3525
79	0.0
80	0.0248
81	0.1638
82	0.0
83	0.0009
84	0.0003
85	0.0232
86	0.0611
87	0.0006
88	0.0228
89	0.06
90	0.0571
91	0.0004
92	0.0148
93	0.0001
94	0.0001
95	0.0007
96	0.0
97	0.4332
98	0.4426
99	0.4885
100	0.0403
101	0.1299
102	0.0961
103	0.0001
104	0.0007
105	0.0
106	0.0009
107	0.0026
108	0.0048
109	0.0
110	0.0693
111	0.1285
112	0.0
113	0.0007
114	0.0047
115	0.0023
116	0.004
117	0.3605
118	0.0599
119	0.0586
120	0.0027
121	0.0224
122	0.2126
123	0.2183
124	0.2356
125	0.0584
126	0.0
127	0.0012
128	0.0074
129	0.2974
130	0.018
131	0.0171
132	0.694
133	0.0189
134	0.1659
135	0.2969
136	0.277
137	0.3578
138	0.0
139	0.046
140	0.0513
141	0.1094
142	0.1639
143	0.0714
144	0.0003
145	0.0373
146	0.0034
147	0.0021
148	0.0543
149	0.0
150	0.0745
