query_id	map
1	0.0374
3	0.0305
4	0.0646
5	0.1052
6	0.1645
7	0.0861
8	0.0
9	0.1291
10	0.0009
11	0.0488
12	0.0078
13	0.0458
14	0.0114
15	0.0027
16	0.0
17	0.0
18	0.0233
19	0.0078
20	0.2319
23	0.0001
24	0.0
25	0.1473
26	0.0131
27	0.3942
28	0.0545
29	0.0683
30	0.0
31	0.3333
32	0.0
33	0.0802
34	0.0
35	1.0
36	0.0562
37	0.0
38	0.0075
39	0.0
40	0.0316
41	0.0022
42	0.006
44	0.0001
45	0.0
46	0.0
47	0.0496
48	0.0
49	0.0
50	0.0
52	0.6531
53	0.249
54	0.2155
55	0.0004
56	0.4392
57	0.641
58	0.5758
59	0.0062
60	0.0005
61	0.091
62	0.3068
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0347
69	0.0104
70	0.0242
71	0.0092
72	0.0015
73	0.0
74	0.0002
76	0.0
77	0.3547
79	0.0
80	0.0205
81	0.132
82	0.0
83	0.0007
84	0.0055
85	0.0219
86	0.0622
87	0.0007
88	0.0082
89	0.0179
90	0.1087
91	0.0
92	0.021
93	0.0
94	0.0002
95	0.0008
96	0.0
97	0.3823
98	0.3743
99	0.4385
100	0.0314
101	0.2649
102	0.0962
103	0.0001
104	0.0005
105	0.0
106	0.0017
107	0.0015
108	0.005
109	0.0
110	0.1141
111	0.1005
112	0.0003
113	0.0002
114	0.0389
115	0.0098
116	0.0118
117	0.4292
118	0.0764
119	0.0973
120	0.0011
121	0.0086
122	0.3916
123	0.068
124	0.1694
125	0.0446
126	0.0
127	0.0011
128	0.0076
129	0.1354
130	0.0217
131	0.0276
132	0.5569
133	0.0101
134	0.0392
135	0.3722
136	0.275
137	0.2809
138	0.0
139	0.0472
140	0.0527
141	0.0739
142	0.1339
143	0.0601
144	0.0003
145	0.0101
146	0.0009
147	0.0
148	0.0069
149	0.0
150	0.0708
