query_id	map
1	0.0434
3	0.0392
4	0.0544
5	0.0003
6	0.1544
7	0.1664
8	0.0
9	0.1331
10	0.0023
11	0.0688
12	0.0066
13	0.1098
14	0.0132
15	0.0058
16	0.0
17	0.0
18	0.0136
19	0.0092
20	0.3063
21	0.3299
23	0.0001
24	0.0
25	0.1109
26	0.0824
27	0.4182
28	0.0436
29	0.0297
30	0.0
31	0.5
32	0.0
33	0.0198
34	0.0
35	1.0
36	0.0126
37	0.0
38	0.0042
39	0.0
40	0.0538
41	0.0081
42	0.0329
44	0.0
45	0.0
46	0.0002
47	0.016
48	0.0
49	0.0
50	0.0
52	0.1168
53	0.268
54	0.182
55	0.0
56	0.1247
57	0.6533
58	0.6397
59	0.0138
60	0.0028
61	0.1426
62	0.3007
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0004
68	0.0237
69	0.2333
70	0.022
71	0.0183
72	0.0016
73	0.0
74	0.0004
76	0.0
77	0.0
79	0.0
80	0.017
81	0.0889
82	0.0
83	0.0012
84	0.0001
85	0.0252
86	0.0283
87	0.0003
88	0.0529
89	0.042
90	0.0472
91	0.0
92	0.0355
93	0.0
94	0.0003
95	0.0006
96	0.0
97	0.4101
98	0.3933
99	0.4833
100	0.0134
101	0.0709
102	0.0772
103	0.0005
104	0.0008
105	0.0
106	0.0
107	0.0001
108	0.0053
109	0.0
110	0.1669
111	0.1206
112	0.0
113	0.0002
114	0.029
115	0.0032
116	0.0026
117	0.339
118	0.0683
119	0.0655
120	0.0014
121	0.0125
122	0.2859
123	0.1721
124	0.2274
125	0.0132
126	0.0
127	0.001
128	0.007
129	0.2253
130	0.0157
131	0.0108
132	0.6955
133	0.0224
134	0.1462
135	0.2649
137	0.3876
138	0.0089
139	0.0151
140	0.0119
141	0.118
142	0.1081
143	0.017
144	0.0
145	0.0494
146	0.2009
147	0.002
148	0.0412
149	0.0
150	0.0584
