query_id	map
1	0.0427
3	0.0395
4	0.0522
5	0.0003
6	0.1409
7	0.1710
8	0.0000
9	0.1318
10	0.0024
11	0.0697
12	0.0066
13	0.0991
14	0.0129
15	0.0067
16	0.0000
17	0.0000
18	0.0135
19	0.0088
20	0.3016
21	0.3318
23	0.0002
24	0.0000
25	0.1075
26	0.0824
27	0.3807
28	0.0441
29	0.0265
30	0.0000
31	0.5000
32	0.0000
33	0.0008
34	0.0000
35	1.0000
36	0.0147
37	0.0000
38	0.0039
39	0.0000
40	0.0558
41	0.0000
42	0.0163
44	0.0000
45	0.0000
46	0.0002
47	0.0042
48	0.0000
49	0.0000
50	0.0000
52	0.1114
53	0.2682
54	0.1794
55	0.0000
56	0.0703
57	0.6527
58	0.6296
59	0.0133
60	0.0028
61	0.1406
62	0.2977
63	0.0000
65	0.0000
66	0.0000
67	0.0004
68	0.0233
69	0.1933
70	0.0210
71	0.0181
72	0.0017
73	0.0001
74	0.0004
76	0.0000
77	0.0000
79	0.0000
80	0.0171
81	0.0879
82	0.0000
83	0.0010
84	0.0001
85	0.0259
86	0.0281
87	0.0004
88	0.0510
89	0.0412
90	0.0462
91	0.0000
92	0.0328
93	0.0000
94	0.0004
95	0.0006
96	0.0000
97	0.4134
98	0.3879
99	0.4832
100	0.0120
101	0.0355
102	0.0784
103	0.0005
104	0.0008
105	0.0000
106	0.0000
107	0.0001
108	0.0052
109	0.0000
110	0.1537
111	0.1191
112	0.0000
113	0.0002
114	0.0298
115	0.0030
116	0.0022
117	0.3439
118	0.0681
119	0.0633
120	0.0010
121	0.0115
122	0.2835
123	0.1730
124	0.2262
125	0.0120
126	0.0000
127	0.0009
128	0.0070
129	0.2243
130	0.0153
131	0.0105
132	0.6990
133	0.0226
134	0.1432
135	0.2641
137	0.3873
138	0.0086
139	0.0153
140	0.0115
141	0.1169
142	0.1008
143	0.0208
144	0.0000
145	0.0507
146	0.2000
147	0.0020
148	0.0393
149	0.0000
150	0.0564
