query_id	map
1	0.0383
3	0.0275
4	0.0571
5	0.0003
6	0.1611
7	0.0927
8	0.0
9	0.1263
10	0.0008
11	0.0518
12	0.0075
13	0.1018
14	0.0422
15	0.0117
16	0.0
17	0.0
18	0.0122
19	0.0077
20	0.1841
21	0.3123
23	0.0002
24	0.0
25	0.1499
26	0.0135
27	0.3415
28	0.0527
29	0.212
30	0.0
31	0.3333
32	0.0
33	0.0014
34	0.0
35	1.0
36	0.0212
37	0.0
38	0.007
39	0.0
40	0.0642
41	0.0
42	0.0131
44	0.0001
45	0.0
46	0.0001
47	0.017
48	0.0
49	0.0
50	0.0
52	0.1079
53	0.2336
54	0.1518
55	0.0
56	0.224
57	0.6452
58	0.5135
59	0.0068
60	0.0009
61	0.085
62	0.3088
63	0.0
65	0.0
66	0.0
67	0.0
68	0.0079
69	0.0123
70	0.0225
71	0.0114
72	0.0009
73	0.0001
74	0.0001
76	0.0
77	0.0
79	0.0
80	0.0232
81	0.0891
82	0.0
83	0.0004
84	0.0052
85	0.0234
86	0.0226
87	0.0031
88	0.0163
89	0.0179
90	0.1087
91	0.0
92	0.0376
93	0.0
94	0.0004
95	0.0008
96	0.0
97	0.3913
98	0.38
99	0.417
100	0.0138
101	0.0648
102	0.1012
103	0.0003
104	0.0006
105	0.0
106	0.0
107	0.0001
108	0.005
109	0.0
110	0.1132
111	0.1031
112	0.0002
113	0.0002
114	0.0248
115	0.0095
116	0.0216
117	0.4511
118	0.0804
119	0.0709
120	0.0018
121	0.0088
122	0.4191
123	0.0246
124	0.1603
125	0.0364
126	0.0
127	0.0017
128	0.0035
129	0.1235
130	0.0238
131	0.025
132	0.5655
133	0.011
134	0.0394
135	0.3541
137	0.3024
138	0.0089
139	0.0114
140	0.0075
141	0.0824
142	0.142
143	0.0113
144	0.0
145	0.0254
146	0.1003
147	0.0006
148	0.0137
149	0.0
150	0.0514
