query_id	map
1	0.0399
3	0.0285
4	0.0605
5	0.0003
6	0.1658
7	0.086
8	0.0
9	0.1299
10	0.0008
11	0.054
12	0.0082
13	0.0458
14	0.0423
15	0.0114
16	0.0
17	0.0
18	0.0128
19	0.0082
20	0.1835
21	0.3076
23	0.0001
24	0.0
25	0.1475
26	0.0144
27	0.3995
28	0.0537
29	0.219
30	0.0
31	0.3333
32	0.0
33	0.02
34	0.0
35	1.0
36	0.0157
37	0.0
38	0.0067
39	0.0
40	0.0687
41	0.0029
42	0.0069
44	0.0001
45	0.0
46	0.0
47	0.0398
48	0.0
49	0.0
50	0.0
52	0.1065
53	0.232
54	0.1529
55	0.0
56	0.2793
57	0.641
58	0.51
59	0.0063
60	0.0008
61	0.0839
62	0.3148
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0075
69	0.0112
70	0.0242
71	0.0123
72	0.0008
73	0.0
74	0.0001
76	0.0
77	0.0
79	0.0
80	0.0223
81	0.0979
82	0.0
83	0.0004
84	0.005
85	0.0229
86	0.0229
87	0.0062
88	0.0132
89	0.0179
90	0.1086
91	0.0
92	0.0382
93	0.0
94	0.0002
95	0.0005
96	0.0
97	0.3956
98	0.3814
99	0.4153
100	0.0121
101	0.1127
102	0.1349
103	0.0003
104	0.0005
105	0.0
106	0.0
107	0.0
108	0.0052
109	0.0
110	0.1164
111	0.1
112	0.0003
113	0.0002
114	0.025
115	0.0102
116	0.0147
117	0.4507
118	0.0793
119	0.0744
120	0.0015
121	0.0087
122	0.4267
123	0.0241
124	0.1556
125	0.0399
126	0.0
127	0.0014
128	0.0035
129	0.1102
130	0.022
131	0.0302
132	0.5559
133	0.0101
134	0.037
135	0.3501
137	0.3103
138	0.0085
139	0.0119
140	0.0077
141	0.081
142	0.1427
143	0.0078
144	0.0
145	0.0251
146	0.1011
147	0.0004
148	0.0134
149	0.0
150	0.0525
