query_id	map
1	0.0554
3	0.0373
4	0.0675
5	0.0003
6	0.1473
7	0.1541
8	0.0
9	0.1325
10	0.0014
11	0.0609
12	0.0073
13	0.1023
14	0.0184
15	0.0002
16	0.0
17	0.0
18	0.0143
19	0.0089
20	0.3113
21	0.3304
23	0.0001
24	0.0
25	0.151
26	0.0844
27	0.379
28	0.0239
29	0.0461
30	0.0
31	0.5
32	0.0
33	0.0263
34	0.0
35	1.0
36	0.0161
37	0.0
38	0.0021
39	0.0
40	0.0479
41	0.0058
42	0.0232
44	0.0
45	0.0
46	0.0001
47	0.0247
48	0.0
49	0.0
50	0.0
52	0.1503
53	0.2699
54	0.1783
55	0.0
56	0.2204
57	0.6502
58	0.6823
59	0.0182
60	0.0013
61	0.1324
62	0.3039
63	0.0
64	0.0001
65	0.0
66	0.0
67	0.0004
68	0.0377
69	0.214
70	0.0228
71	0.0166
72	0.0015
73	0.0
74	0.0003
76	0.0
77	0.0
79	0.0
80	0.028
81	0.1029
82	0.0
83	0.0012
84	0.0013
85	0.0252
86	0.0289
87	0.0004
88	0.0441
89	0.059
90	0.0585
91	0.0
92	0.0466
93	0.0
94	0.0001
95	0.0005
96	0.0
97	0.432
98	0.4387
99	0.4348
100	0.0188
101	0.1008
102	0.0858
103	0.0005
104	0.0008
105	0.0
106	0.0
107	0.0001
108	0.0051
109	0.0
110	0.2061
111	0.1287
112	0.0
113	0.0008
114	0.0236
115	0.0027
116	0.0034
117	0.3946
118	0.0675
119	0.0768
120	0.0049
121	0.026
122	0.2716
123	0.1637
124	0.2163
125	0.0497
126	0.0
127	0.0022
128	0.0069
129	0.2507
130	0.0171
131	0.015
132	0.6933
133	0.0183
134	0.1385
135	0.2909
137	0.4095
138	0.008
139	0.0184
140	0.0109
141	0.1268
142	0.1566
143	0.0145
144	0.0
145	0.0479
146	0.2078
147	0.0022
148	0.0514
149	0.0
150	0.0598
