query_id	map
1	0.0301
2	0.0070
3	0.0622
4	0.1641
5	0.1328
6	0.1645
7	0.0811
8	0.0080
9	0.0886
10	0.1610
11	0.0492
12	0.1458
13	0.1803
14	0.0986
15	0.0641
16	0.0001
17	0.0001
18	0.0462
19	0.0188
20	0.4381
21	0.4322
22	0.0000
23	0.0000
24	0.0001
25	0.1473
26	0.0131
27	0.3877
28	0.0530
29	0.1299
30	0.0000
31	0.3333
32	0.0055
33	0.1717
34	0.0000
35	1.0000
36	0.1786
37	0.0000
38	0.0172
39	0.0000
40	0.1838
41	0.0488
42	0.0938
43	0.0960
44	0.0480
45	0.0000
46	0.6516
47	0.1622
48	0.0004
49	0.3214
50	0.0000
51	0.4639
52	0.5245
53	0.3948
54	0.4419
55	0.2401
56	0.4968
57	0.6410
58	0.5936
59	0.0158
60	0.0059
61	0.2171
62	0.3180
63	0.1935
64	0.1887
65	0.0000
66	0.0014
67	0.0002
68	0.0255
69	0.0402
70	0.5740
71	0.1445
72	0.0106
73	0.0001
74	0.0044
75	0.0682
76	0.0217
77	0.3547
78	0.8256
79	0.0002
80	0.0146
81	0.1655
82	0.4225
83	0.0401
84	0.0322
85	0.2131
86	0.3260
87	0.0050
88	0.0081
89	0.0260
90	0.2213
91	0.0032
92	0.0553
93	0.1591
94	0.1193
95	0.0118
96	0.0114
97	0.3646
98	0.4024
99	0.4548
100	0.1476
101	0.2063
102	0.2702
103	0.2396
104	0.1708
105	0.0000
106	0.1642
107	0.1578
108	0.0676
109	0.0077
110	0.1664
111	0.4097
112	0.1576
113	0.0222
114	0.1776
115	0.2343
116	0.1776
117	0.3803
118	0.1146
119	0.1467
120	0.0192
121	0.0086
122	0.3991
123	0.0673
124	0.2773
125	0.3066
126	0.0726
127	0.0869
128	0.0452
129	0.1670
130	0.3683
131	0.0635
132	0.5569
133	0.5079
134	0.5795
135	0.3975
136	0.2455
137	0.3014
138	0.1297
139	0.0953
140	0.0904
141	0.1015
142	0.1735
143	0.0602
144	0.0220
145	0.1732
146	0.1934
147	0.0327
148	0.0118
149	0.0143
150	0.2274
