query_id	map
1	0.0313
2	0.0166
3	0.0862
4	0.1211
5	0.1298
6	0.1515
7	0.1633
8	0.0047
9	0.1867
10	0.1951
11	0.0661
12	0.1776
13	0.3046
14	0.0674
15	0.0613
16	0.0
17	0.0001
18	0.0419
19	0.0231
20	0.5288
21	0.5052
22	0.0
23	0.0
24	0.0003
25	0.11
26	0.0818
27	0.4668
28	0.0799
29	0.0269
30	0.0
31	1.0
32	0.0019
33	0.0736
34	0.0
35	1.0
36	0.4796
37	0.0
38	0.0205
39	0.0
40	0.1338
41	0.0855
42	0.1183
43	0.1545
44	0.1126
45	0.0
46	0.5138
47	0.1205
48	0.0
49	0.3705
50	0.0
51	0.7441
52	0.7115
53	0.4288
54	0.4936
55	0.3854
56	0.5186
57	0.6533
58	0.6695
59	0.0508
60	0.0209
61	0.3006
62	0.2772
63	0.2577
64	0.2443
65	0.0
66	0.0077
67	0.001
68	0.0584
69	0.1604
70	0.3889
71	0.2325
72	0.0185
73	0.0008
74	0.002
75	0.0946
76	0.0423
77	0.3541
78	0.8339
79	0.0009
80	0.04
81	0.1492
82	0.6482
83	0.0905
84	0.0536
85	0.2563
86	0.2228
87	0.0056
88	0.0444
89	0.0714
90	0.2011
91	0.0021
92	0.0182
93	0.2173
94	0.1384
95	0.026
96	0.0341
97	0.4588
98	0.5196
99	0.5299
100	0.1649
101	0.1373
102	0.2841
103	0.2128
104	0.2548
105	0.0
106	0.2041
107	0.2621
108	0.0692
109	0.0051
110	0.2445
111	0.4748
112	0.2444
113	0.0211
114	0.182
115	0.2179
116	0.0926
117	0.3503
118	0.133
119	0.1639
120	0.0137
121	0.0122
122	0.295
123	0.2287
124	0.2501
125	0.2717
126	0.1067
127	0.0444
128	0.0356
129	0.3058
130	0.377
131	0.0316
132	0.6962
133	0.5237
134	0.7385
135	0.3644
136	0.3162
137	0.3542
138	0.1291
139	0.0653
140	0.0942
141	0.1091
142	0.1767
143	0.0924
144	0.0105
145	0.1674
146	0.3069
147	0.0279
148	0.0364
149	0.0098
150	0.2855
