query_id	map
1	0.0328
2	0.0165
3	0.0858
4	0.1215
5	0.1239
6	0.1019
7	0.1662
8	0.0042
9	0.1884
10	0.192
11	0.0672
12	0.1739
13	0.4285
14	0.0652
15	0.0595
16	0.0
17	0.0001
18	0.0478
19	0.0229
20	0.5188
21	0.5053
22	0.0
23	0.0001
24	0.0003
25	0.1074
26	0.0824
27	0.4402
28	0.0828
29	0.025
30	0.0
31	1.0
32	0.0046
33	0.0555
34	0.0
35	1.0
36	0.4557
37	0.0
38	0.0203
39	0.0
40	0.1298
41	0.0187
42	0.1224
43	0.1458
44	0.0783
45	0.0
46	0.5197
47	0.0918
48	0.0
49	0.2885
50	0.0
51	0.7289
52	0.7042
53	0.4274
54	0.4841
55	0.3737
56	0.4932
57	0.6527
58	0.6582
59	0.05
60	0.0196
61	0.2902
62	0.2781
63	0.2541
64	0.2084
65	0.0
66	0.0094
67	0.001
68	0.0556
69	0.1528
70	0.3872
71	0.2319
72	0.0185
73	0.0008
74	0.0018
75	0.0942
76	0.0461
77	0.353
78	0.8324
79	0.0009
80	0.0408
81	0.1462
82	0.6321
83	0.0898
84	0.0484
85	0.2569
86	0.2128
87	0.0041
88	0.0459
89	0.0686
90	0.2003
91	0.0024
92	0.0174
93	0.186
94	0.093
95	0.0321
96	0.0477
97	0.4611
98	0.5254
99	0.5288
100	0.1594
101	0.1061
102	0.294
103	0.2208
104	0.2582
105	0.0
106	0.2075
107	0.2587
108	0.0665
109	0.0043
110	0.2352
111	0.4768
112	0.2468
113	0.0221
114	0.1833
115	0.2129
116	0.0915
117	0.3563
118	0.1334
119	0.1743
120	0.0139
121	0.0118
122	0.2949
123	0.2307
124	0.2557
125	0.2721
126	0.1035
127	0.0391
128	0.0353
129	0.3067
130	0.3701
131	0.0304
132	0.6998
133	0.5238
134	0.7366
135	0.3717
136	0.3162
137	0.3537
138	0.1288
139	0.065
140	0.0967
141	0.1
142	0.1787
143	0.1081
144	0.0091
145	0.1617
146	0.3062
147	0.0285
148	0.0341
149	0.0093
150	0.2781
