query_id	map
1	0.0329
2	0.0159
3	0.0787
4	0.1336
5	0.1544
6	0.1434
7	0.1371
8	0.0054
9	0.193
10	0.1834
11	0.0594
12	0.219
13	0.3454
14	0.0883
15	0.0567
16	0.0
17	0.0003
18	0.0501
19	0.0185
20	0.505
21	0.4589
22	0.0
23	0.0
24	0.0011
25	0.1508
26	0.0834
27	0.4599
28	0.0145
29	0.052
30	0.0
31	1.0
32	0.0016
33	0.1603
34	0.0
35	1.0
36	0.3624
37	0.0
38	0.0209
39	0.0
40	0.1104
41	0.0804
42	0.1071
43	0.1498
44	0.0953
45	0.0
46	0.4697
47	0.12
48	0.0
49	0.3529
50	0.0
51	0.7429
52	0.7917
53	0.4179
54	0.4914
55	0.4489
56	0.53
57	0.6502
58	0.7037
59	0.0554
60	0.0105
61	0.4344
62	0.2873
63	0.2485
64	0.103
65	0.0
66	0.0034
67	0.0012
68	0.0705
69	0.1949
70	0.4934
71	0.2284
72	0.0213
73	0.0003
74	0.0017
75	0.0883
76	0.0359
77	0.3536
78	0.8351
79	0.0008
80	0.0366
81	0.1758
82	0.715
83	0.0825
84	0.0363
85	0.2497
86	0.2512
87	0.0099
88	0.0211
89	0.0809
90	0.1731
91	0.0026
92	0.0262
93	0.2145
94	0.119
95	0.0755
96	0.0934
97	0.4491
98	0.5297
99	0.4957
100	0.208
101	0.1545
102	0.2936
103	0.1752
104	0.31
105	0.0
106	0.0687
107	0.2221
108	0.0492
109	0.0024
110	0.2319
111	0.4606
112	0.3142
113	0.021
114	0.1715
115	0.2561
116	0.1452
117	0.3122
118	0.1257
119	0.1487
120	0.0103
121	0.0234
122	0.2204
123	0.2208
124	0.2177
125	0.2373
126	0.1618
127	0.077
128	0.0272
129	0.4119
130	0.4702
131	0.0458
132	0.6943
133	0.5516
134	0.7462
135	0.3174
136	0.3187
137	0.3274
138	0.1173
139	0.0755
140	0.0842
141	0.0942
142	0.1733
143	0.0703
144	0.0028
145	0.197
146	0.3091
147	0.0205
148	0.0534
149	0.0189
150	0.2591
