query_id	num_rel
1	111
3	74
4	41
5	40
6	129
7	158
8	29
9	53
10	148
11	231
12	272
13	70
14	53
15	58
16	43
17	142
18	69
19	61
20	63
21	23
23	141
24	145
25	39
26	14
27	6
28	19
29	6
30	0
31	1
32	3
33	13
34	0
35	1
36	6
37	7
38	216
39	0
40	147
41	8
42	78
44	57
45	52
46	38
47	36
48	19
49	25
50	5
52	631
53	389
54	157
55	518
56	549
57	110
58	144
59	925
60	24
61	104
62	589
63	6
64	464
65	0
66	2
67	758
68	111
69	16
70	60
71	561
72	85
73	371
74	504
76	175
77	179
79	452
80	292
81	55
82	217
83	450
84	76
85	1142
86	26
87	162
88	98
89	70
90	98
91	12
92	67
93	198
94	119
95	92
96	40
97	40
98	38
99	390
100	107
101	33
102	20
103	88
104	54
105	34
106	67
107	52
108	266
109	20
110	819
111	235
112	41
113	75
114	221
115	109
116	23
117	52
118	559
119	461
120	108
121	188
122	49
123	262
124	115
125	183
126	252
127	222
128	151
129	246
130	518
131	14
132	231
133	122
134	11
135	179
137	96
138	63
139	81
140	71
141	64
142	847
143	525
144	50
145	135
146	373
147	284
148	352
149	270
150	569
