query_id	num_rel_ret
1	45
3	37
4	33
5	36
6	82
7	111
8	0
9	44
10	22
11	115
12	43
13	69
14	14
15	16
16	0
17	0
18	26
19	11
20	62
23	4
24	1
25	31
26	3
27	5
28	17
29	3
30	0
31	1
32	0
33	4
34	0
35	1
36	6
37	0
38	28
39	0
40	46
41	2
42	26
44	1
45	0
46	1
47	12
48	0
49	0
50	0
52	506
53	262
54	114
55	16
56	359
57	110
58	127
59	68
60	6
61	79
62	383
63	0
64	5
65	0
66	0
67	9
68	41
69	16
70	11
71	98
72	15
73	3
74	9
76	2
77	99
79	0
80	59
81	41
82	0
83	20
84	2
85	138
86	21
87	13
88	57
89	29
90	26
91	0
92	6
93	0
94	5
95	9
96	0
97	40
98	38
99	342
100	26
101	30
102	17
103	2
104	7
105	0
106	11
107	13
108	23
109	0
110	184
111	128
112	0
113	4
114	92
115	17
116	7
117	52
118	194
119	185
120	6
121	50
122	41
123	105
124	91
125	46
126	2
127	12
128	6
129	175
130	87
131	6
132	225
133	56
134	10
135	144
136	13
137	77
138	0
139	43
140	41
141	56
142	286
143	171
144	3
145	34
146	24
147	17
148	66
149	0
150	166
