query_id	num_rel_ret
1	38
3	38
4	33
5	35
6	97
7	103
8	1
9	44
10	10
11	102
12	44
13	69
14	19
15	17
16	0
17	1
18	25
19	11
20	49
23	5
24	1
25	38
26	2
27	5
28	17
29	3
30	0
31	1
32	0
33	5
34	0
35	1
36	5
37	0
38	29
39	0
40	49
41	1
42	26
44	2
45	0
46	1
47	17
48	0
49	0
50	0
52	479
53	247
54	107
55	18
56	341
57	110
58	131
59	76
60	2
61	74
62	364
63	0
64	2
65	0
66	0
67	4
68	35
69	7
70	11
71	78
72	12
73	3
74	7
76	0
77	99
79	0
80	49
81	39
82	0
83	18
84	18
85	137
86	22
87	5
88	38
89	24
90	52
91	0
92	21
93	0
94	2
95	5
96	0
97	40
98	38
99	332
100	34
101	28
102	16
103	2
104	5
105	0
106	11
107	9
108	23
109	0
110	282
111	112
112	1
113	4
114	89
115	27
116	14
117	48
118	170
119	181
120	4
121	45
122	41
123	67
124	84
125	57
126	1
127	17
128	12
129	156
130	122
131	5
132	197
133	41
134	8
135	141
136	13
137	75
138	0
139	45
140	38
141	54
142	313
143	183
144	3
145	29
146	19
147	3
148	38
149	0
150	156
