query_id	num_rel_ret
1	38
3	39
4	31
5	4
6	98
7	106
8	0
9	44
10	9
11	107
12	45
13	69
14	28
15	26
16	0
17	1
18	23
19	11
20	48
21	14
23	6
24	1
25	38
26	2
27	4
28	17
29	3
30	0
31	1
32	0
33	3
34	0
35	1
36	5
37	0
38	29
39	0
40	53
41	0
42	25
44	3
45	0
46	1
47	12
48	0
49	0
50	0
52	257
53	237
54	99
55	0
56	225
57	110
58	130
59	76
60	4
61	75
62	367
63	0
65	0
66	0
67	3
68	19
69	8
70	11
71	86
72	8
73	2
74	4
76	0
77	0
79	0
80	51
81	37
82	0
83	13
84	18
85	148
86	18
87	2
88	45
89	24
90	52
91	0
92	24
93	0
94	1
95	5
96	0
97	39
98	36
99	332
100	23
101	15
102	14
103	5
104	5
105	0
106	0
107	2
108	23
109	0
110	297
111	113
112	1
113	4
114	80
115	26
116	13
117	50
118	177
119	152
120	5
121	41
122	41
123	47
124	85
125	48
126	2
127	23
128	4
129	123
130	123
131	4
132	197
133	41
134	8
135	126
137	73
138	22
139	29
140	15
141	55
142	318
143	66
144	0
145	45
146	149
147	15
148	46
149	0
150	143
