query_id	num_rel_ret
1	45.0
3	35.0
4	30.0
5	4.0
6	86.0
7	113.0
8	0.0
9	44.0
10	18.0
11	118.0
12	43.0
13	69.0
14	20.0
15	21.0
16	0.0
17	1.0
18	23.0
19	11.0
20	58.0
21	14.0
23	4.0
24	1.0
25	28.0
26	2.0
27	5.0
28	17.0
29	3.0
30	0.0
31	1.0
32	0.0
33	2.0
34	0.0
35	1.0
36	5.0
37	0.0
38	23.0
39	0.0
40	61.0
41	0.0
42	28.0
44	1.0
45	0.0
46	2.0
47	5.0
48	0.0
49	0.0
50	0.0
52	222.0
53	255.0
54	110.0
55	0.0
56	94.0
57	110.0
58	128.0
59	72.0
60	7.0
61	80.0
62	381.0
63	0.0
65	0.0
66	0.0
67	6.0
68	23.0
69	16.0
70	11.0
71	104.0
72	10.0
73	2.0
74	6.0
76	1.0
77	0.0
79	0.0
80	60.0
81	34.0
82	0.0
83	22.0
84	1.0
85	148.0
86	21.0
87	1.0
88	63.0
89	27.0
90	25.0
91	0.0
92	20.0
93	1.0
94	3.0
95	6.0
96	0.0
97	39.0
98	36.0
99	330.0
100	16.0
101	14.0
102	15.0
103	6.0
104	7.0
105	0.0
106	0.0
107	2.0
108	23.0
109	0.0
110	337.0
111	128.0
112	1.0
113	4.0
114	79.0
115	17.0
116	7.0
117	52.0
118	192.0
119	164.0
120	6.0
121	46.0
122	43.0
123	65.0
124	89.0
125	28.0
126	2.0
127	11.0
128	6.0
129	175.0
130	87.0
131	5.0
132	225.0
133	56.0
134	9.0
135	120.0
137	78.0
138	24.0
139	31.0
140	19.0
141	58.0
142	280.0
143	76.0
144	0.0
145	41.0
146	198.0
147	18.0
148	60.0
149	0.0
150	154.0
