query_id	num_rel_ret
1	38.0
3	39.0
4	31.0
5	4.0
6	98.0
7	106.0
8	0.0
9	44.0
10	9.0
11	107.0
12	45.0
13	69.0
14	28.0
15	26.0
16	0.0
17	1.0
18	23.0
19	11.0
20	48.0
21	14.0
23	6.0
24	1.0
25	38.0
26	2.0
27	4.0
28	17.0
29	3.0
30	0.0
31	1.0
32	0.0
33	3.0
34	0.0
35	1.0
36	5.0
37	0.0
38	29.0
39	0.0
40	53.0
41	0.0
42	25.0
44	3.0
45	0.0
46	1.0
47	12.0
48	0.0
49	0.0
50	0.0
52	257.0
53	237.0
54	99.0
55	0.0
56	225.0
57	110.0
58	130.0
59	76.0
60	4.0
61	75.0
62	367.0
63	0.0
65	0.0
66	0.0
67	3.0
68	19.0
69	8.0
70	11.0
71	86.0
72	8.0
73	2.0
74	4.0
76	0.0
77	0.0
79	0.0
80	51.0
81	37.0
82	0.0
83	13.0
84	18.0
85	148.0
86	18.0
87	2.0
88	45.0
89	24.0
90	52.0
91	0.0
92	24.0
93	0.0
94	1.0
95	5.0
96	0.0
97	39.0
98	36.0
99	332.0
100	23.0
101	15.0
102	14.0
103	5.0
104	5.0
105	0.0
106	0.0
107	2.0
108	23.0
109	0.0
110	297.0
111	113.0
112	1.0
113	4.0
114	80.0
115	26.0
116	13.0
117	50.0
118	177.0
119	152.0
120	5.0
121	41.0
122	41.0
123	47.0
124	85.0
125	48.0
126	2.0
127	23.0
128	4.0
129	123.0
130	123.0
131	4.0
132	197.0
133	41.0
134	8.0
135	126.0
137	73.0
138	22.0
139	29.0
140	15.0
141	55.0
142	318.0
143	66.0
144	0.0
145	45.0
146	149.0
147	15.0
148	46.0
149	0.0
150	143.0
