query_id	num_rel_ret
1	33
2	30
3	52
4	35
5	32
6	103
7	97
8	6
9	37
10	99
11	102
12	121
13	68
14	38
15	41
16	1
17	3
18	41
19	20
20	61
21	20
22	0
23	1
24	5
25	38
26	2
27	5
28	16
29	5
30	0
31	1
32	2
33	9
34	0
35	1
36	6
37	0
38	56
39	0
40	96
41	6
42	65
43	29
44	28
45	0
46	38
47	22
48	3
49	24
50	0
51	35
52	437
53	317
54	145
55	235
56	347
57	110
58	132
59	107
60	10
61	88
62	354
63	6
64	270
65	0
66	1
67	12
68	35
69	15
70	58
71	175
72	16
73	4
74	24
75	35
76	44
77	99
78	200
79	10
80	63
81	41
82	162
83	102
84	34
85	381
86	24
87	23
88	33
89	32
90	73
91	4
92	24
93	115
94	68
95	26
96	11
97	40
98	38
99	340
100	56
101	29
102	18
103	47
104	50
105	0
106	28
107	27
108	113
109	3
110	355
111	153
112	32
113	36
114	171
115	87
116	21
117	51
118	185
119	195
120	26
121	42
122	41
123	66
124	87
125	127
126	94
127	113
128	54
129	146
130	351
131	12
132	195
133	122
134	9
135	136
136	13
137	67
138	59
139	53
140	43
141	56
142	322
143	173
144	23
145	58
146	191
147	93
148	45
149	27
150	243
