query_id	num_rel_ret
1	42.0
2	43.0
3	53.0
4	32.0
5	37.0
6	82.0
7	108.0
8	5.0
9	44.0
10	95.0
11	115.0
12	156.0
13	69.0
14	38.0
15	39.0
16	1.0
17	3.0
18	28.0
19	18.0
20	62.0
21	20.0
22	0.0
23	2.0
24	6.0
25	31.0
26	3.0
27	5.0
28	16.0
29	5.0
30	0.0
31	1.0
32	2.0
33	8.0
34	0.0
35	1.0
36	6.0
37	0.0
38	51.0
39	0.0
40	104.0
41	6.0
42	61.0
43	31.0
44	31.0
45	0.0
46	38.0
47	20.0
48	0.0
49	24.0
50	0.0
51	36.0
52	504.0
53	313.0
54	148.0
55	327.0
56	363.0
57	110.0
58	125.0
59	148.0
60	8.0
61	88.0
62	374.0
63	6.0
64	303.0
65	0.0
66	1.0
67	27.0
68	37.0
69	16.0
70	58.0
71	191.0
72	24.0
73	13.0
74	24.0
75	35.0
76	40.0
77	99.0
78	200.0
79	22.0
80	84.0
81	41.0
82	205.0
83	148.0
84	29.0
85	409.0
86	22.0
87	26.0
88	57.0
89	33.0
90	68.0
91	2.0
92	22.0
93	133.0
94	64.0
95	30.0
96	15.0
97	40.0
98	38.0
99	342.0
100	55.0
101	32.0
102	18.0
103	51.0
104	52.0
105	0.0
106	40.0
107	30.0
108	122.0
109	4.0
110	418.0
111	135.0
112	38.0
113	39.0
114	180.0
115	90.0
116	16.0
117	52.0
118	214.0
119	203.0
120	31.0
121	50.0
122	42.0
123	105.0
124	82.0
125	136.0
126	108.0
127	88.0
128	34.0
129	180.0
130	355.0
131	12.0
132	225.0
133	122.0
134	11.0
135	144.0
136	13.0
137	72.0
138	57.0
139	53.0
140	38.0
141	56.0
142	325.0
143	202.0
144	14.0
145	50.0
146	226.0
147	80.0
148	65.0
149	30.0
150	260.0
