query_id	num_rel_ret
1	43
2	43
3	52
4	32
5	37
6	73
7	107
8	5
9	44
10	95
11	116
12	155
13	69
14	38
15	39
16	1
17	3
18	28
19	18
20	62
21	20
22	0
23	3
24	6
25	28
26	3
27	5
28	17
29	5
30	0
31	1
32	3
33	8
34	0
35	1
36	6
37	0
38	50
39	0
40	106
41	6
42	62
43	31
44	25
45	0
46	37
47	14
48	0
49	24
50	0
51	36
52	502
53	311
54	147
55	316
56	354
57	110
58	125
59	151
60	9
61	88
62	375
63	6
64	295
65	0
66	1
67	27
68	38
69	16
70	58
71	191
72	24
73	12
74	21
75	35
76	44
77	99
78	200
79	21
80	82
81	41
82	205
83	146
84	28
85	409
86	22
87	21
88	57
89	33
90	69
91	4
92	22
93	127
94	50
95	18
96	17
97	40
98	38
99	341
100	55
101	32
102	18
103	51
104	52
105	0
106	40
107	30
108	122
109	4
110	407
111	137
112	38
113	40
114	179
115	90
116	15
117	52
118	213
119	218
120	30
121	50
122	43
123	103
124	83
125	136
126	103
127	83
128	38
129	180
130	352
131	12
132	225
133	122
134	10
135	144
136	13
137	72
138	57
139	53
140	38
141	56
142	328
143	219
144	14
145	49
146	227
147	81
148	62
149	30
150	252
