query_id	num_rel_ret
1	33.0
2	30.0
3	52.0
4	35.0
5	32.0
6	103.0
7	97.0
8	6.0
9	37.0
10	99.0
11	102.0
12	121.0
13	68.0
14	38.0
15	41.0
16	1.0
17	3.0
18	41.0
19	20.0
20	61.0
21	20.0
22	0.0
23	1.0
24	5.0
25	38.0
26	2.0
27	5.0
28	16.0
29	5.0
30	0.0
31	1.0
32	2.0
33	9.0
34	0.0
35	1.0
36	6.0
37	0.0
38	56.0
39	0.0
40	96.0
41	6.0
42	65.0
43	29.0
44	28.0
45	0.0
46	38.0
47	22.0
48	3.0
49	24.0
50	0.0
51	35.0
52	437.0
53	317.0
54	145.0
55	235.0
56	347.0
57	110.0
58	132.0
59	107.0
60	10.0
61	88.0
62	354.0
63	6.0
64	270.0
65	0.0
66	1.0
67	12.0
68	35.0
69	15.0
70	58.0
71	175.0
72	16.0
73	4.0
74	24.0
75	35.0
76	44.0
77	99.0
78	200.0
79	10.0
80	63.0
81	41.0
82	162.0
83	102.0
84	34.0
85	381.0
86	24.0
87	23.0
88	33.0
89	32.0
90	73.0
91	4.0
92	24.0
93	115.0
94	68.0
95	26.0
96	11.0
97	40.0
98	38.0
99	340.0
100	56.0
101	29.0
102	18.0
103	47.0
104	50.0
105	0.0
106	28.0
107	27.0
108	113.0
109	3.0
110	355.0
111	153.0
112	32.0
113	36.0
114	171.0
115	87.0
116	21.0
117	51.0
118	185.0
119	195.0
120	26.0
121	42.0
122	41.0
123	66.0
124	87.0
125	127.0
126	94.0
127	113.0
128	54.0
129	146.0
130	351.0
131	12.0
132	195.0
133	122.0
134	9.0
135	136.0
136	13.0
137	67.0
138	59.0
139	53.0
140	43.0
141	56.0
142	322.0
143	173.0
144	23.0
145	58.0
146	191.0
147	93.0
148	45.0
149	27.0
150	243.0
