query_id	num_ret
1	1000
3	1000
4	1000
5	1000
6	1000
7	1000
8	1000
9	356
10	1000
11	1000
12	1000
13	1000
14	1000
15	1000
16	1000
17	1000
18	1000
19	367
20	1000
21	38
23	1000
24	1000
25	1000
26	1000
27	1000
28	1000
29	1000
30	1000
31	1000
32	1000
33	1000
34	1000
35	35
36	1000
37	1
38	1000
39	1000
40	1000
41	1000
42	1000
44	1000
45	1000
46	1000
47	1000
48	1000
49	1000
50	1000
52	1000
53	1000
54	1000
55	1000
56	1000
57	300
58	1000
59	1000
60	1000
61	1000
62	1000
63	3
64	1000
65	1000
66	1000
67	1000
68	1000
69	1000
70	147
71	1000
72	1000
73	1000
74	1000
76	1000
77	8
79	33
80	1000
81	1000
82	8
83	1000
84	1000
85	1000
86	1000
87	1000
88	1000
89	1000
90	1000
91	1000
92	1000
93	1000
94	1000
95	1000
96	1000
97	646
98	816
99	1000
100	1000
101	1000
102	1000
103	1000
104	1000
105	1000
106	1000
107	1000
108	368
109	1000
110	1000
111	1000
112	1000
113	1000
114	1000
115	1000
116	1000
117	1000
118	1000
119	1000
120	1000
121	1000
122	1000
123	1000
124	1000
125	1000
126	1000
127	1000
128	1000
129	1000
130	1000
131	1000
132	1000
133	1000
134	1000
135	1000
137	1000
138	1000
139	1000
140	1000
141	1000
142	1000
143	1000
144	1000
145	1000
146	1000
147	1000
148	1000
149	4
150	1000
