query_id	P_10
1	0.3
3	0.1
4	0.1
5	0.1
6	0.2
7	0.4
8	0.0
9	0.1
10	0.0
11	0.1
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.1
19	0.0
20	0.6
23	0.0
24	0.0
25	0.0
26	0.1
27	0.3
28	0.0
29	0.1
30	0.0
31	0.1
32	0.0
33	0.2
34	0.0
35	0.1
36	0.0
37	0.0
38	0.1
39	0.0
40	0.1
41	0.0
42	0.0
44	0.0
45	0.0
46	0.0
47	0.1
48	0.0
49	0.0
50	0.0
52	1.0
53	0.4
54	0.6
55	0.0
56	1.0
57	0.7
58	0.9
59	0.6
60	0.0
61	0.4
62	0.5
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.4
69	0.3
70	0.1
71	0.0
72	0.0
73	0.0
74	0.0
76	0.0
77	0.7
79	0.0
80	0.1
81	0.5
82	0.0
83	0.0
84	0.0
85	0.5
86	0.0
87	0.0
88	0.0
89	0.4
90	0.4
91	0.0
92	0.1
93	0.0
94	0.0
95	0.0
96	0.0
97	0.6
98	0.6
99	0.9
100	0.3
101	0.3
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	0.1
111	0.7
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.3
118	0.0
119	0.0
120	0.0
121	0.0
122	0.3
123	0.8
124	0.7
125	0.1
126	0.0
127	0.0
128	0.1
129	0.5
130	0.3
131	0.0
132	1.0
133	0.0
134	0.1
135	0.6
136	0.3
137	0.6
138	0.0
139	0.2
140	0.2
141	0.1
142	0.4
143	0.2
144	0.0
145	0.3
146	0.0
147	0.0
148	0.5
149	0.0
150	0.0
