query_id	P_10
1	0.2000
3	0.0000
4	0.2000
5	0.0000
6	0.4000
7	0.1000
8	0.0000
9	0.1000
10	0.0000
11	0.0000
12	0.0000
13	0.0000
14	0.2000
15	0.0000
16	0.0000
17	0.0000
18	0.0000
19	0.0000
20	0.3000
21	0.6000
23	0.0000
24	0.0000
25	0.0000
26	0.0000
27	0.2000
28	0.0000
29	0.2000
30	0.0000
31	0.1000
32	0.0000
33	0.0000
34	0.0000
35	0.1000
36	0.0000
37	0.0000
38	0.1000
39	0.0000
40	0.4000
41	0.0000
42	0.0000
44	0.0000
45	0.0000
46	0.0000
47	0.0000
48	0.0000
49	0.0000
50	0.0000
52	0.4000
53	0.6000
54	0.5000
55	0.0000
56	0.9000
57	0.7000
58	0.9000
59	0.0000
60	0.0000
61	0.2000
62	0.5000
63	0.0000
65	0.0000
66	0.0000
67	0.0000
68	0.0000
69	0.0000
70	0.1000
71	0.0000
72	0.0000
73	0.0000
74	0.0000
76	0.0000
77	0.0000
79	0.0000
80	0.1000
81	0.1000
82	0.0000
83	0.0000
84	0.0000
85	0.4000
86	0.0000
87	0.1000
88	0.0000
89	0.0000
90	0.6000
91	0.0000
92	0.2000
93	0.0000
94	0.0000
95	0.0000
96	0.0000
97	0.8000
98	0.7000
99	0.7000
100	0.2000
101	0.2000
102	0.2000
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0000
109	0.0000
110	0.3000
111	0.5000
112	0.0000
113	0.0000
114	0.0000
115	0.0000
116	0.1000
117	0.4000
118	0.2000
119	0.2000
120	0.0000
121	0.0000
122	0.9000
123	0.3000
124	0.4000
125	0.2000
126	0.0000
127	0.0000
128	0.1000
129	0.2000
130	0.1000
131	0.1000
132	1.0000
133	0.0000
134	0.1000
135	0.2000
137	0.7000
138	0.0000
139	0.0000
140	0.0000
141	0.0000
142	0.2000
143	0.0000
144	0.0000
145	0.2000
146	0.3000
147	0.0000
148	0.2000
149	0.0000
150	0.5000
