query_id	P_100
1	0.12
3	0.07
4	0.09
5	0.1
6	0.24
7	0.22
8	0.0
9	0.17
10	0.0
11	0.13
12	0.04
13	0.09
14	0.01
15	0.0
16	0.0
17	0.0
18	0.07
19	0.05
20	0.28
23	0.0
24	0.0
25	0.16
26	0.02
27	0.03
28	0.01
29	0.02
30	0.0
31	0.01
32	0.0
33	0.02
34	0.0
35	0.01
36	0.02
37	0.0
38	0.01
39	0.0
40	0.07
41	0.01
42	0.04
44	0.0
45	0.0
46	0.0
47	0.04
48	0.0
49	0.0
50	0.0
52	0.99
53	0.53
54	0.37
55	0.0
56	0.97
57	0.64
58	0.79
59	0.2
60	0.0
61	0.17
62	0.24
63	0.0
64	0.0
65	0.0
66	0.0
67	0.02
68	0.2
69	0.06
70	0.09
71	0.06
72	0.01
73	0.0
74	0.03
76	0.0
77	0.59
79	0.0
80	0.15
81	0.15
82	0.0
83	0.01
84	0.01
85	0.22
86	0.08
87	0.01
88	0.04
89	0.11
90	0.17
91	0.0
92	0.06
93	0.0
94	0.0
95	0.01
96	0.0
97	0.29
98	0.28
99	0.7
100	0.13
101	0.17
102	0.11
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.02
109	0.0
110	0.34
111	0.24
112	0.0
113	0.0
114	0.06
115	0.02
116	0.0
117	0.38
118	0.0
119	0.27
120	0.03
121	0.05
122	0.24
123	0.56
124	0.3
125	0.18
126	0.0
127	0.01
128	0.01
129	0.37
130	0.07
131	0.02
132	0.84
133	0.02
134	0.06
135	0.3
136	0.11
137	0.44
138	0.0
139	0.07
140	0.09
141	0.14
142	0.4
143	0.24
144	0.0
145	0.07
146	0.04
147	0.0
148	0.21
149	0.0
150	0.35
