query_id	P_100
1	0.11
3	0.06
4	0.07
5	0.0
6	0.23
7	0.1
8	0.0
9	0.15
10	0.01
11	0.11
12	0.06
13	0.13
14	0.09
15	0.01
16	0.0
17	0.0
18	0.03
19	0.04
20	0.23
21	0.14
23	0.0
24	0.0
25	0.16
26	0.02
27	0.02
28	0.04
29	0.02
30	0.0
31	0.01
32	0.0
33	0.0
34	0.0
35	0.01
36	0.02
37	0.0
38	0.05
39	0.0
40	0.14
41	0.0
42	0.04
44	0.0
45	0.0
46	0.0
47	0.07
48	0.0
49	0.0
50	0.0
52	0.24
53	0.46
54	0.3
55	0.0
56	0.7
57	0.64
58	0.61
59	0.09
60	0.0
61	0.1
62	0.5
63	0.0
65	0.0
66	0.0
67	0.0
68	0.05
69	0.03
70	0.09
71	0.02
72	0.0
73	0.02
74	0.02
76	0.0
77	0.0
79	0.0
80	0.2
81	0.12
82	0.0
83	0.0
84	0.03
85	0.21
86	0.05
87	0.01
88	0.02
89	0.06
90	0.16
91	0.0
92	0.06
93	0.0
94	0.01
95	0.01
96	0.0
97	0.24
98	0.28
99	0.52
100	0.05
101	0.07
102	0.08
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.04
109	0.0
110	0.34
111	0.27
112	0.0
113	0.0
114	0.03
115	0.03
116	0.02
117	0.41
118	0.32
119	0.26
120	0.03
121	0.01
122	0.29
123	0.14
124	0.23
125	0.15
126	0.0
127	0.0
128	0.01
129	0.25
130	0.04
131	0.02
132	0.8
133	0.0
134	0.01
135	0.65
137	0.35
138	0.02
139	0.04
140	0.04
141	0.09
142	0.41
143	0.12
144	0.0
145	0.08
146	0.28
147	0.0
148	0.13
149	0.0
150	0.26
