query_id	P_100
1	0.11
3	0.07
4	0.08
5	0.0
6	0.24
7	0.24
8	0.0
9	0.18
10	0.0
11	0.1
12	0.04
13	0.12
14	0.06
15	0.0
16	0.0
17	0.0
18	0.03
19	0.05
20	0.3
21	0.14
23	0.0
24	0.0
25	0.16
26	0.02
27	0.03
28	0.0
29	0.02
30	0.0
31	0.01
32	0.0
33	0.0
34	0.0
35	0.01
36	0.02
37	0.0
38	0.03
39	0.0
40	0.1
41	0.0
42	0.03
44	0.0
45	0.0
46	0.0
47	0.01
48	0.0
49	0.0
50	0.0
52	0.35
53	0.52
54	0.24
55	0.0
56	0.36
57	0.64
58	0.77
59	0.2
60	0.0
61	0.18
62	0.27
63	0.0
65	0.0
66	0.0
67	0.03
68	0.06
69	0.06
70	0.09
71	0.07
72	0.02
73	0.02
74	0.03
76	0.0
77	0.0
79	0.0
80	0.15
81	0.13
82	0.0
83	0.0
84	0.0
85	0.26
86	0.03
87	0.01
88	0.05
89	0.08
90	0.17
91	0.0
92	0.04
93	0.0
94	0.0
95	0.01
96	0.0
97	0.29
98	0.29
99	0.65
100	0.07
101	0.07
102	0.08
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.02
109	0.0
110	0.38
111	0.23
112	0.0
113	0.0
114	0.07
115	0.02
116	0.0
117	0.38
118	0.07
119	0.24
120	0.03
121	0.06
122	0.24
123	0.5
124	0.29
125	0.22
126	0.0
127	0.01
128	0.01
129	0.4
130	0.07
131	0.03
132	0.85
133	0.02
134	0.05
135	0.48
137	0.43
138	0.02
139	0.03
140	0.06
141	0.13
142	0.39
143	0.14
144	0.0
145	0.12
146	0.49
147	0.01
148	0.18
149	0.0
150	0.31
