query_id	P_100
1	0.12
3	0.08
4	0.08
5	0.0
6	0.25
7	0.22
8	0.0
9	0.18
10	0.0
11	0.1
12	0.04
13	0.09
14	0.05
15	0.0
16	0.0
17	0.0
18	0.03
19	0.06
20	0.3
21	0.14
23	0.0
24	0.0
25	0.16
26	0.02
27	0.04
28	0.0
29	0.02
30	0.0
31	0.01
32	0.0
33	0.01
34	0.0
35	0.01
36	0.02
37	0.0
38	0.02
39	0.0
40	0.1
41	0.01
42	0.07
44	0.0
45	0.0
46	0.0
47	0.04
48	0.0
49	0.0
50	0.0
52	0.36
53	0.51
54	0.24
55	0.0
56	0.7
57	0.64
58	0.78
59	0.2
60	0.0
61	0.19
62	0.27
63	0.0
64	0.0
65	0.0
66	0.0
67	0.03
68	0.07
69	0.06
70	0.09
71	0.07
72	0.02
73	0.0
74	0.03
76	0.0
77	0.0
79	0.0
80	0.15
81	0.13
82	0.0
83	0.0
84	0.0
85	0.27
86	0.03
87	0.01
88	0.05
89	0.08
90	0.17
91	0.0
92	0.04
93	0.0
94	0.0
95	0.0
96	0.0
97	0.28
98	0.28
99	0.67
100	0.07
101	0.1
102	0.08
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.02
109	0.0
110	0.43
111	0.24
112	0.0
113	0.0
114	0.06
115	0.02
116	0.0
117	0.38
118	0.08
119	0.27
120	0.03
121	0.06
122	0.24
123	0.5
124	0.28
125	0.22
126	0.0
127	0.01
128	0.01
129	0.38
130	0.07
131	0.03
132	0.84
133	0.02
134	0.04
135	0.49
137	0.43
138	0.02
139	0.03
140	0.06
141	0.14
142	0.4
143	0.15
144	0.0
145	0.12
146	0.48
147	0.01
148	0.19
149	0.0
150	0.3
