query_id	P_100
1	0.1200
2	0.0600
3	0.1000
4	0.1400
5	0.1400
6	0.2000
7	0.1600
8	0.0100
9	0.1600
10	0.3000
11	0.1100
12	0.3700
13	0.2900
14	0.1300
15	0.1300
16	0.0000
17	0.0000
18	0.0700
19	0.0600
20	0.3400
21	0.2000
22	0.0000
23	0.0000
24	0.0000
25	0.1600
26	0.0200
27	0.0300
28	0.0600
29	0.0400
30	0.0000
31	0.0100
32	0.0000
33	0.0400
34	0.0000
35	0.0100
36	0.0300
37	0.0000
38	0.0900
39	0.0000
40	0.2900
41	0.0100
42	0.1600
43	0.1300
44	0.0800
45	0.0000
46	0.3300
47	0.1000
48	0.0000
49	0.2200
50	0.0000
51	0.2200
52	0.9400
53	0.5800
54	0.5300
55	0.6500
56	0.9700
57	0.6400
58	0.6900
59	0.1100
60	0.0000
61	0.2900
62	0.6100
63	0.0400
64	0.2600
65	0.0000
66	0.0000
67	0.0100
68	0.0800
69	0.0400
70	0.4900
71	0.5500
72	0.0800
73	0.0100
74	0.0500
75	0.0700
76	0.0800
77	0.6100
78	0.9000
79	0.0000
80	0.0500
81	0.1600
82	0.6900
83	0.1800
84	0.0500
85	0.7800
86	0.1600
87	0.0500
88	0.0100
89	0.0600
90	0.2800
91	0.0100
92	0.1100
93	0.3200
94	0.0900
95	0.0200
96	0.0500
97	0.2300
98	0.2400
99	0.5800
100	0.2700
101	0.1700
102	0.1200
103	0.3800
104	0.1800
105	0.0000
106	0.1900
107	0.1700
108	0.1600
109	0.0200
110	0.3800
111	0.7800
112	0.1700
113	0.0600
114	0.1900
115	0.3200
116	0.1600
117	0.3800
118	0.4400
119	0.4000
120	0.0600
121	0.0100
122	0.3000
123	0.2200
124	0.3600
125	0.4700
126	0.2200
127	0.2400
128	0.1400
129	0.3700
130	0.6700
131	0.0500
132	0.8000
133	0.5400
134	0.0800
135	0.5800
136	0.0800
137	0.3600
138	0.1500
139	0.1200
140	0.1900
141	0.0900
142	0.5700
143	0.1600
144	0.0700
145	0.2800
146	0.4400
147	0.0900
148	0.1000
149	0.1200
150	0.6600
