query_id	P_100
1	0.09
2	0.11
3	0.13
4	0.13
5	0.12
6	0.2
7	0.23
8	0.02
9	0.21
10	0.31
11	0.14
12	0.41
13	0.4
14	0.1
15	0.11
16	0.0
17	0.0
18	0.08
19	0.06
20	0.42
21	0.2
22	0.0
23	0.0
24	0.0
25	0.16
26	0.02
27	0.03
28	0.04
29	0.02
30	0.0
31	0.01
32	0.0
33	0.03
34	0.0
35	0.01
36	0.06
37	0.0
38	0.11
39	0.0
40	0.22
41	0.02
42	0.17
43	0.16
44	0.12
45	0.0
46	0.31
47	0.07
48	0.0
49	0.21
50	0.0
51	0.29
52	1.0
53	0.66
54	0.57
55	0.7
56	0.95
57	0.65
58	0.73
59	0.41
60	0.04
61	0.34
62	0.28
63	0.05
64	0.33
65	0.0
66	0.01
67	0.02
68	0.2
69	0.1
70	0.37
71	0.8
72	0.09
73	0.03
74	0.06
75	0.09
76	0.14
77	0.58
78	0.89
79	0.0
80	0.18
81	0.15
82	0.78
83	0.3
84	0.07
85	0.89
86	0.15
87	0.05
88	0.07
89	0.1
90	0.29
91	0.01
92	0.08
93	0.33
94	0.19
95	0.04
96	0.06
97	0.27
98	0.3
99	0.73
100	0.26
101	0.11
102	0.14
103	0.38
104	0.28
105	0.0
106	0.23
107	0.18
108	0.2
109	0.03
110	0.55
111	0.87
112	0.25
113	0.03
114	0.17
115	0.3
116	0.09
117	0.32
118	0.44
119	0.49
120	0.05
121	0.02
122	0.26
123	0.59
124	0.39
125	0.43
126	0.29
127	0.1
128	0.1
129	0.48
130	0.67
131	0.04
132	0.83
133	0.57
134	0.08
135	0.53
136	0.12
137	0.39
138	0.17
139	0.14
140	0.16
141	0.13
142	0.53
143	0.23
144	0.04
145	0.26
146	0.65
147	0.12
148	0.2
149	0.08
150	0.8
