query_id	P_20
1	0.15
3	0.1
4	0.05
5	0.15
6	0.35
7	0.5
8	0.0
9	0.05
10	0.0
11	0.2
12	0.0
13	0.2
14	0.0
15	0.0
16	0.0
17	0.0
18	0.15
19	0.05
20	0.45
23	0.0
24	0.0
25	0.05
26	0.1
27	0.15
28	0.0
29	0.0
30	0.0
31	0.05
32	0.0
33	0.05
34	0.0
35	0.05
36	0.0
37	0.0
38	0.05
39	0.0
40	0.15
41	0.0
42	0.0
44	0.0
45	0.0
46	0.0
47	0.05
48	0.0
49	0.0
50	0.0
52	1.0
53	0.55
54	0.6
55	0.0
56	1.0
57	0.75
58	0.9
59	0.55
60	0.0
61	0.35
62	0.3
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.5
69	0.15
70	0.15
71	0.0
72	0.0
73	0.0
74	0.0
76	0.0
77	0.75
79	0.0
80	0.1
81	0.2
82	0.0
83	0.0
84	0.0
85	0.3
86	0.1
87	0.0
88	0.15
89	0.25
90	0.25
91	0.0
92	0.05
93	0.0
94	0.0
95	0.0
96	0.0
97	0.5
98	0.55
99	0.85
100	0.1
101	0.25
102	0.05
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.05
109	0.0
110	0.4
111	0.4
112	0.0
113	0.0
114	0.05
115	0.0
116	0.0
117	0.15
118	0.0
119	0.0
120	0.0
121	0.0
122	0.5
123	0.6
124	0.6
125	0.05
126	0.0
127	0.05
128	0.05
129	0.55
130	0.25
131	0.05
132	0.95
133	0.1
134	0.15
135	0.3
136	0.3
137	0.55
138	0.0
139	0.1
140	0.1
141	0.15
142	0.3
143	0.4
144	0.0
145	0.15
146	0.0
147	0.0
148	0.3
149	0.0
150	0.25
