query_id	P_20
1	0.2000
3	0.0000
4	0.1000
5	0.1000
6	0.4500
7	0.1500
8	0.0000
9	0.1000
10	0.0000
11	0.1000
12	0.0000
13	0.0000
14	0.0500
15	0.0000
16	0.0000
17	0.0000
18	0.1500
19	0.0000
20	0.4000
23	0.0000
24	0.0000
25	0.1000
26	0.0500
27	0.1000
28	0.0000
29	0.1500
30	0.0000
31	0.0500
32	0.0000
33	0.0500
34	0.0000
35	0.0500
36	0.1000
37	0.0000
38	0.1000
39	0.0000
40	0.1500
41	0.0000
42	0.0000
44	0.0000
45	0.0000
46	0.0000
47	0.2000
48	0.0000
49	0.0000
50	0.0000
52	1.0000
53	0.4500
54	0.5000
55	0.0000
56	1.0000
57	0.8500
58	0.8500
59	0.0000
60	0.0000
61	0.1000
62	0.5500
63	0.0000
64	0.0000
65	0.0000
66	0.0000
67	0.0000
68	0.0500
69	0.0000
70	0.1500
71	0.0000
72	0.0000
73	0.0000
74	0.0000
76	0.0000
77	0.6500
79	0.0000
80	0.1000
81	0.3000
82	0.0000
83	0.0000
84	0.0000
85	0.4000
86	0.1000
87	0.0500
88	0.0000
89	0.0000
90	0.3500
91	0.0000
92	0.1500
93	0.0000
94	0.0000
95	0.0000
96	0.0000
97	0.6000
98	0.5000
99	0.6500
100	0.1500
101	0.3000
102	0.1000
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0000
109	0.0000
110	0.2500
111	0.4500
112	0.0000
113	0.0000
114	0.1000
115	0.0000
116	0.0000
117	0.5500
118	0.3500
119	0.3000
120	0.0000
121	0.0000
122	0.5000
123	0.4500
124	0.4000
125	0.2000
126	0.0000
127	0.0000
128	0.0500
129	0.1500
130	0.0500
131	0.0500
132	0.9000
133	0.0000
134	0.0500
135	0.4000
136	0.3000
137	0.5500
138	0.0000
139	0.2000
140	0.1000
141	0.0000
142	0.2500
143	0.2000
144	0.0000
145	0.0500
146	0.0000
147	0.0000
148	0.1500
149	0.0000
150	0.4000
