query_id	P_20
1	0.15
3	0.15
4	0.05
5	0.0
6	0.35
7	0.5
8	0.0
9	0.05
10	0.0
11	0.15
12	0.0
13	0.05
14	0.0
15	0.0
16	0.0
17	0.0
18	0.05
19	0.05
20	0.55
21	0.45
23	0.0
24	0.0
25	0.05
26	0.1
27	0.15
28	0.0
29	0.05
30	0.0
31	0.05
32	0.0
33	0.0
34	0.0
35	0.05
36	0.0
37	0.0
38	0.05
39	0.0
40	0.25
41	0.0
42	0.0
44	0.0
45	0.0
46	0.0
47	0.05
48	0.0
49	0.0
50	0.0
52	0.75
53	0.6
54	0.5
55	0.0
56	0.65
57	0.75
58	0.9
59	0.45
60	0.0
61	0.4
62	0.3
63	0.0
65	0.0
66	0.0
67	0.0
68	0.3
69	0.15
70	0.15
71	0.0
72	0.0
73	0.0
74	0.05
76	0.0
77	0.0
79	0.0
80	0.15
81	0.15
82	0.0
83	0.0
84	0.0
85	0.35
86	0.0
87	0.05
88	0.1
89	0.25
90	0.25
91	0.0
92	0.2
93	0.0
94	0.0
95	0.0
96	0.0
97	0.5
98	0.6
99	0.7
100	0.15
101	0.1
102	0.1
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.05
109	0.0
110	0.35
111	0.4
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.2
118	0.0
119	0.0
120	0.0
121	0.0
122	0.5
123	0.85
124	0.45
125	0.0
126	0.0
127	0.05
128	0.05
129	0.4
130	0.25
131	0.05
132	0.95
133	0.1
134	0.1
135	0.2
137	0.7
138	0.0
139	0.0
140	0.0
141	0.2
142	0.3
143	0.2
144	0.0
145	0.2
146	0.6
147	0.0
148	0.4
149	0.0
150	0.2
