query_id	P_20
1	0.2
3	0.0
4	0.1
5	0.0
6	0.45
7	0.15
8	0.0
9	0.1
10	0.0
11	0.05
12	0.05
13	0.05
14	0.15
15	0.0
16	0.0
17	0.0
18	0.05
19	0.0
20	0.35
21	0.45
23	0.0
24	0.0
25	0.1
26	0.1
27	0.15
28	0.0
29	0.1
30	0.0
31	0.05
32	0.0
33	0.05
34	0.0
35	0.05
36	0.0
37	0.0
38	0.1
39	0.0
40	0.35
41	0.0
42	0.1
44	0.0
45	0.0
46	0.0
47	0.15
48	0.0
49	0.0
50	0.0
52	0.3
53	0.6
54	0.5
55	0.0
56	1.0
57	0.75
58	0.85
59	0.0
60	0.0
61	0.1
62	0.65
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.05
69	0.0
70	0.15
71	0.0
72	0.0
73	0.0
74	0.0
76	0.0
77	0.0
79	0.0
80	0.2
81	0.2
82	0.0
83	0.0
84	0.0
85	0.35
86	0.0
87	0.05
88	0.0
89	0.0
90	0.35
91	0.0
92	0.15
93	0.0
94	0.0
95	0.0
96	0.0
97	0.6
98	0.6
99	0.6
100	0.1
101	0.15
102	0.25
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.05
109	0.0
110	0.35
111	0.4
112	0.0
113	0.0
114	0.0
115	0.0
116	0.05
117	0.6
118	0.35
119	0.3
120	0.05
121	0.0
122	0.65
123	0.25
124	0.4
125	0.2
126	0.0
127	0.0
128	0.05
129	0.15
130	0.05
131	0.05
132	0.9
133	0.0
134	0.05
135	0.55
137	0.7
138	0.0
139	0.0
140	0.05
141	0.0
142	0.4
143	0.15
144	0.0
145	0.2
146	0.25
147	0.0
148	0.15
149	0.0
150	0.3
