query_id	P_20
1	0.2
2	0.1
3	0.0
4	0.3
5	0.15
6	0.45
7	0.1
8	0.05
9	0.1
10	0.35
11	0.1
12	0.55
13	0.2
14	0.15
15	0.1
16	0.0
17	0.0
18	0.15
19	0.1
20	0.65
21	0.5
22	0.0
23	0.0
24	0.0
25	0.1
26	0.05
27	0.1
28	0.0
29	0.15
30	0.0
31	0.05
32	0.0
33	0.1
34	0.0
35	0.05
36	0.1
37	0.0
38	0.05
39	0.0
40	0.55
41	0.05
42	0.1
43	0.2
44	0.1
45	0.0
46	0.7
47	0.25
48	0.0
49	0.5
50	0.0
51	0.6
52	1.0
53	0.55
54	0.6
55	0.5
56	1.0
57	0.85
58	0.9
59	0.05
60	0.0
61	0.45
62	0.6
63	0.1
64	0.3
65	0.0
66	0.0
67	0.0
68	0.05
69	0.05
70	0.7
71	0.6
72	0.0
73	0.0
74	0.1
75	0.05
76	0.2
77	0.65
78	0.95
79	0.0
80	0.0
81	0.35
82	0.85
83	0.25
84	0.05
85	0.75
86	0.45
87	0.0
88	0.0
89	0.05
90	0.5
91	0.0
92	0.1
93	0.45
94	0.2
95	0.1
96	0.0
97	0.65
98	0.5
99	0.6
100	0.4
101	0.25
102	0.3
103	0.6
104	0.3
105	0.0
106	0.5
107	0.5
108	0.15
109	0.05
110	0.5
111	0.85
112	0.3
113	0.0
114	0.2
115	0.55
116	0.25
117	0.4
118	0.55
119	0.55
120	0.15
121	0.0
122	0.5
123	0.45
124	0.5
125	0.65
126	0.25
127	0.2
128	0.2
129	0.4
130	0.6
131	0.1
132	0.9
133	0.65
134	0.4
135	0.8
136	0.3
137	0.65
138	0.1
139	0.25
140	0.2
141	0.1
142	0.55
143	0.05
144	0.0
145	0.75
146	0.6
147	0.1
148	0.15
149	0.25
150	0.85
