query_id	P_20
1	0.1
2	0.1
3	0.15
4	0.3
5	0.25
6	0.25
7	0.4
8	0.05
9	0.4
10	0.4
11	0.05
12	0.6
13	0.55
14	0.1
15	0.05
16	0.0
17	0.0
18	0.15
19	0.1
20	0.7
21	0.55
22	0.0
23	0.0
24	0.0
25	0.15
26	0.1
27	0.15
28	0.05
29	0.05
30	0.0
31	0.05
32	0.0
33	0.1
34	0.0
35	0.05
36	0.15
37	0.0
38	0.2
39	0.0
40	0.15
41	0.05
42	0.25
43	0.25
44	0.3
45	0.0
46	0.65
47	0.2
48	0.0
49	0.25
50	0.0
51	0.95
52	1.0
53	0.65
54	0.85
55	0.45
56	1.0
57	0.75
58	0.9
59	0.65
60	0.0
61	0.95
62	0.25
63	0.1
64	0.1
65	0.0
66	0.0
67	0.05
68	0.3
69	0.2
70	0.5
71	0.85
72	0.1
73	0.0
74	0.05
75	0.15
76	0.3
77	0.7
78	1.0
79	0.0
80	0.2
81	0.35
82	1.0
83	0.35
84	0.15
85	0.9
86	0.25
87	0.1
88	0.15
89	0.25
90	0.5
91	0.0
92	0.0
93	0.45
94	0.4
95	0.15
96	0.25
97	0.65
98	0.55
99	0.8
100	0.6
101	0.2
102	0.35
103	0.4
104	0.3
105	0.0
106	0.15
107	0.55
108	0.2
109	0.0
110	0.45
111	0.9
112	0.35
113	0.05
114	0.1
115	0.3
116	0.2
117	0.2
118	0.4
119	0.4
120	0.05
121	0.0
122	0.35
123	0.6
124	0.6
125	0.6
126	0.45
127	0.1
128	0.25
129	0.75
130	0.85
131	0.1
132	0.9
133	0.55
134	0.4
135	0.7
136	0.3
137	0.75
138	0.25
139	0.15
140	0.3
141	0.05
142	0.7
143	0.25
144	0.05
145	0.85
146	0.65
147	0.05
148	0.5
149	0.3
150	0.75
