query_id	P_30
1	0.2
2	0.0667
3	0.0333
4	0.2667
5	0.2
6	0.4
7	0.1667
8	0.0333
9	0.1333
10	0.3
11	0.1333
12	0.5333
13	0.2
14	0.1667
15	0.0667
16	0.0
17	0.0
18	0.1
19	0.1
20	0.7
21	0.5333
22	0.0
23	0.0
24	0.0
25	0.1667
26	0.0667
27	0.1
28	0.0
29	0.1
30	0.0
31	0.0333
32	0.0
33	0.0667
34	0.0
35	0.0333
36	0.1
37	0.0
38	0.0333
39	0.0
40	0.5667
41	0.0333
42	0.0667
43	0.1333
44	0.1667
45	0.0
46	0.6
47	0.3
48	0.0
49	0.3667
50	0.0
51	0.4667
52	0.9667
53	0.5667
54	0.6333
55	0.6
56	1.0
57	0.8
58	0.8667
59	0.0333
60	0.0
61	0.4333
62	0.7
63	0.0667
64	0.3667
65	0.0
66	0.0
67	0.0
68	0.0333
69	0.0667
70	0.6333
71	0.7333
72	0.0333
73	0.0
74	0.1333
75	0.1
76	0.1667
77	0.6333
78	0.9333
79	0.0
80	0.0
81	0.3333
82	0.8667
83	0.2
84	0.0667
85	0.8
86	0.3333
87	0.0333
88	0.0
89	0.0333
90	0.4333
91	0.0
92	0.1333
93	0.4
94	0.2
95	0.0333
96	0.0
97	0.4667
98	0.5333
99	0.5667
100	0.4333
101	0.2333
102	0.2667
103	0.5
104	0.2333
105	0.0
106	0.3333
107	0.3667
108	0.1333
109	0.0667
110	0.4667
111	0.8333
112	0.3667
113	0.0333
114	0.1333
115	0.5333
116	0.2333
117	0.4333
118	0.5
119	0.5333
120	0.1
121	0.0
122	0.4667
123	0.4
124	0.5333
125	0.7
126	0.2667
127	0.2
128	0.2
129	0.3667
130	0.6
131	0.1
132	0.8333
133	0.5667
134	0.2667
135	0.7
136	0.2
137	0.6333
138	0.1667
139	0.1667
140	0.2667
141	0.1
142	0.5
143	0.0333
144	0.0333
145	0.5667
146	0.5333
147	0.1
148	0.1
149	0.2
150	0.7667
