query_id	P_30
1	0.1333
2	0.0667
3	0.2
4	0.2667
5	0.2667
6	0.4
7	0.3667
8	0.0333
9	0.3
10	0.3667
11	0.0333
12	0.4667
13	0.3667
14	0.1
15	0.0333
16	0.0
17	0.0
18	0.1
19	0.1333
20	0.6333
21	0.4667
22	0.0
23	0.0
24	0.0
25	0.2333
26	0.0667
27	0.1
28	0.0333
29	0.0333
30	0.0
31	0.0333
32	0.0
33	0.1
34	0.0
35	0.0333
36	0.1667
37	0.0
38	0.1667
39	0.0
40	0.1667
41	0.1
42	0.2
43	0.2
44	0.2
45	0.0
46	0.3667
47	0.2
48	0.0
49	0.3333
50	0.0
51	0.7667
52	1.0
53	0.7
54	0.8333
55	0.6
56	1.0
57	0.8333
58	0.9333
59	0.5667
60	0.0333
61	0.7667
62	0.2333
63	0.1
64	0.3
65	0.0
66	0.0
67	0.0333
68	0.3
69	0.2
70	0.4667
71	0.9
72	0.1333
73	0.0
74	0.0333
75	0.1
76	0.2333
77	0.7333
78	0.9333
79	0.0
80	0.1667
81	0.2667
82	1.0
83	0.3
84	0.1333
85	0.9
86	0.2
87	0.1
88	0.1
89	0.2333
90	0.4333
91	0.0
92	0.0667
93	0.5
94	0.3
95	0.3
96	0.2333
97	0.5333
98	0.5
99	0.8333
100	0.5333
101	0.2
102	0.3
103	0.4667
104	0.3
105	0.0
106	0.1333
107	0.4
108	0.2333
109	0.0
110	0.5
111	0.8667
112	0.3
113	0.0333
114	0.1
115	0.4333
116	0.1667
117	0.3333
118	0.4333
119	0.5667
120	0.0333
121	0.0
122	0.3333
123	0.7
124	0.5333
125	0.5333
126	0.4333
127	0.0667
128	0.1667
129	0.6667
130	0.8333
131	0.0667
132	0.9333
133	0.5
134	0.2667
135	0.6
136	0.2333
137	0.6667
138	0.1667
139	0.1667
140	0.2667
141	0.1
142	0.6333
143	0.3333
144	0.0333
145	0.7
146	0.7667
147	0.0333
148	0.4667
149	0.2333
150	0.7667
