query_id	recip_rank
1	0.2000
3	0.0909
4	0.1667
5	0.3333
6	1.0000
7	1.0000
8	0.0000
9	0.0909
10	0.0154
11	0.1111
12	0.0312
13	1.0000
14	0.0103
15	0.0050
16	0.0000
17	0.0000
18	1.0000
19	0.0714
20	1.0000
23	0.0033
24	0.0016
25	0.0500
26	1.0000
27	1.0000
28	0.0435
29	0.0400
30	0.0000
31	0.5000
32	0.0000
33	0.3333
34	0.0000
35	1.0000
36	0.0312
37	0.0000
38	0.0667
39	0.0000
40	0.1000
41	0.0286
42	0.0476
44	0.0014
45	0.0000
46	0.0037
47	0.5000
48	0.0000
49	0.0000
50	0.0000
52	1.0000
53	1.0000
54	1.0000
55	0.0083
56	1.0000
57	1.0000
58	1.0000
59	0.3333
60	0.0037
61	1.0000
62	0.5000
63	0.0000
64	0.0040
65	0.0000
66	0.0000
67	0.0185
68	0.5000
69	1.0000
70	0.1000
71	0.0303
72	0.0385
73	0.0019
74	0.0455
76	0.0016
77	1.0000
79	0.0000
80	0.1667
81	1.0000
82	0.0000
83	0.0172
84	0.0103
85	0.3333
86	0.1000
87	0.0108
88	0.2000
89	0.5000
90	0.1667
91	0.0000
92	0.1111
93	0.0000
94	0.0213
95	0.0122
96	0.0000
97	1.0000
98	1.0000
99	0.5000
100	0.1667
101	0.2500
102	0.0833
103	0.0037
104	0.0047
105	0.0000
106	0.0039
107	0.0067
108	0.0833
109	0.0000
110	0.5000
111	0.3333
112	0.0000
113	0.0033
114	0.1111
115	0.0063
116	0.0056
117	0.0769
118	0.0058
119	0.0263
120	0.0333
121	0.0114
122	0.5000
123	1.0000
124	0.5000
125	0.0714
126	0.0030
127	0.0833
128	1.0000
129	0.5000
130	0.5000
131	0.0667
132	1.0000
133	0.0769
134	1.0000
135	1.0000
136	1.0000
137	0.2500
138	0.0000
139	0.2000
140	0.2500
141	0.2000
142	0.3333
143	0.1111
144	0.0172
145	1.0000
146	0.0294
147	0.0052
148	1.0000
149	0.0000
150	0.0909
