query_id	recip_rank
1	0.1429
3	0.04
4	0.1
5	0.125
6	1.0
7	1.0
8	0.001
9	0.3333
10	0.0286
11	0.0667
12	0.0333
13	0.0303
14	0.0625
15	0.0143
16	0.0
17	0.0015
18	0.2
19	0.0278
20	1.0
23	0.0063
24	0.0012
25	0.0909
26	0.0833
27	1.0
28	0.0312
29	0.1429
30	0.0
31	0.3333
32	0.0
33	1.0
34	0.0
35	1.0
36	0.1667
37	0.0
38	0.3333
39	0.0
40	0.3333
41	0.0017
42	0.0145
44	0.0015
45	0.0
46	0.0014
47	0.5
48	0.0
49	0.0
50	0.0
52	1.0
53	0.5
54	1.0
55	0.0058
56	1.0
57	1.0
58	1.0
59	0.0455
60	0.0033
61	0.2
62	1.0
63	0.0
64	0.0085
65	0.0
66	0.0
67	0.0056
68	0.1667
69	0.0278
70	0.1
71	0.0137
72	0.0139
73	0.0094
74	0.0204
76	0.0
77	1.0
79	0.0
80	0.1429
81	0.3333
82	0.0
83	0.0096
84	0.0139
85	0.5
86	0.5
87	0.0909
88	0.0102
89	0.0227
90	1.0
91	0.0
92	0.1429
93	0.0
94	0.0323
95	0.0192
96	0.0
97	1.0
98	0.5
99	1.0
100	0.5
101	1.0
102	0.1429
103	0.0044
104	0.0063
105	0.0
106	0.0053
107	0.0056
108	0.0435
109	0.0
110	0.2
111	1.0
112	0.0084
113	0.0032
114	0.0909
115	0.0222
116	0.0476
117	0.5
118	0.1429
119	0.1
120	0.0417
121	0.0169
122	1.0
123	1.0
124	0.5
125	0.3333
126	0.002
127	0.0116
128	1.0
129	0.3333
130	0.1
131	0.25
132	1.0
133	0.0059
134	0.3333
135	1.0
136	1.0
137	1.0
138	0.0
139	0.25
140	0.25
141	0.0385
142	0.5
143	0.3333
144	0.0055
145	0.1429
146	0.025
147	0.0025
148	0.25
149	0.0
150	0.25
