query_id	recip_rank
1	0.25
3	0.0323
4	0.1111
5	0.1667
6	0.5
7	1.0
8	0.0011
9	0.3333
10	0.0189
11	0.0625
12	0.05
13	1.0
14	0.1429
15	0.0084
16	0.0
17	0.0016
18	0.1667
19	0.0278
20	1.0
23	0.0024
24	0.0013
25	0.0909
26	0.0833
27	1.0
28	0.0217
29	0.1
30	0.0
31	0.3333
32	0.0
33	1.0
34	0.0
35	1.0
36	0.1111
37	0.0
38	0.3333
39	0.0
40	1.0
41	0.0072
42	0.0192
44	0.0017
45	0.0
46	0.0013
47	0.2
48	0.0
49	0.0
50	0.0
52	1.0
53	0.5
54	1.0
55	0.0064
56	1.0
57	1.0
58	1.0
59	0.0435
60	0.0031
61	0.2
62	1.0
63	0.0
64	0.0016
65	0.0
66	0.0
67	0.0038
68	0.2
69	0.0294
70	0.1
71	0.0182
72	0.0116
73	0.0011
74	0.0111
76	0.0
77	1.0
79	0.0
80	0.1667
81	1.0
82	0.0
83	0.0103
84	0.0125
85	1.0
86	0.5
87	0.0167
88	0.0119
89	0.0294
90	1.0
91	0.0
92	0.25
93	0.0
94	0.0196
95	0.0189
96	0.0
97	1.0
98	0.3333
99	1.0
100	0.5
101	1.0
102	0.1667
103	0.0044
104	0.0052
105	0.0
106	0.0058
107	0.005
108	0.0526
109	0.0
110	0.3333
111	1.0
112	0.0128
113	0.0025
114	0.125
115	0.0323
116	0.0435
117	0.5
118	0.1429
119	0.1667
120	0.04
121	0.0278
122	1.0
123	1.0
124	0.5
125	0.5
126	0.0025
127	0.0139
128	1.0
129	0.3333
130	0.0667
131	0.25
132	1.0
133	0.0062
134	0.3333
135	1.0
136	1.0
137	1.0
138	0.0
139	0.25
140	0.2
141	0.05
142	0.5
143	0.0909
144	0.0069
145	0.1111
146	0.025
147	0.0026
148	0.3333
149	0.0
150	0.5
