query_id	recip_rank
1	1.0
3	0.1
4	0.5
5	0.5
6	1.0
7	1.0
8	0.0
9	0.5
10	0.0021
11	0.2
12	0.0333
13	1.0
14	0.0156
15	0.0025
16	0.0
17	0.0
18	0.1111
19	0.0588
20	1.0
23	0.006
24	0.0018
25	0.0556
26	1.0
27	1.0
28	0.0769
29	0.1
30	0.0
31	0.5
32	0.0
33	0.5
34	0.0
35	1.0
36	0.0192
37	0.0
38	0.1111
39	0.0
40	0.1667
41	0.0256
42	0.05
44	0.0015
45	0.0
46	0.0039
47	0.3333
48	0.0
49	0.0
50	0.0
52	1.0
53	0.5
54	1.0
55	0.0084
56	1.0
57	1.0
58	1.0
59	0.3333
60	0.0059
61	0.5
62	1.0
63	0.0
64	0.0042
65	0.0
66	0.0
67	0.0233
68	0.5
69	1.0
70	0.1111
71	0.0278
72	0.0303
73	0.004
74	0.0333
76	0.0024
77	1.0
79	0.0
80	0.0769
81	1.0
82	0.0
83	0.0169
84	0.0119
85	0.3333
86	0.0769
87	0.0141
88	0.0714
89	0.5
90	0.25
91	0.0
92	0.1429
93	0.0
94	0.0065
95	0.0164
96	0.0
97	1.0
98	1.0
99	0.5
100	0.5
101	0.3333
102	0.1
103	0.0043
104	0.0051
105	0.0
106	0.0033
107	0.0071
108	0.0833
109	0.0
110	0.5
111	0.5
112	0.0014
113	0.0068
114	0.05
115	0.0139
116	0.007
117	0.3333
118	0.0083
119	0.0833
120	0.0667
121	0.0172
122	0.1667
123	1.0
124	0.5
125	0.1429
126	0.0029
127	0.0435
128	1.0
129	0.5
130	0.3333
131	0.0833
132	1.0
133	0.0526
134	1.0
135	1.0
136	1.0
137	0.5
138	0.0
139	1.0
140	0.1667
141	0.25
142	0.3333
143	0.5
144	0.0092
145	1.0
146	0.0303
147	0.0054
148	1.0
149	0.0
150	0.1429
