query_id	recip_rank
1	0.25
3	0.04
4	0.125
5	0.0017
6	0.5
7	1.0
8	0.0
9	0.3333
10	0.0189
11	0.0526
12	0.0556
13	1.0
14	0.3333
15	0.0227
16	0.0
17	0.0
18	0.0526
19	0.0312
20	0.5
21	0.5
23	0.0028
24	0.0015
25	0.0909
26	0.0833
27	1.0
28	0.0204
29	1.0
30	0.0
31	0.3333
32	0.0
33	0.25
34	0.0
35	1.0
36	0.0345
37	0.0
38	0.25
39	0.0
40	1.0
41	0.0071
42	0.0588
44	0.0015
45	0.0
46	0.0019
47	0.1429
48	0.0
49	0.0
50	0.0
52	0.5
53	1.0
54	0.5
55	0.0
56	1.0
57	1.0
58	1.0
59	0.0455
60	0.0037
61	0.25
62	1.0
63	0.0
64	0.0022
65	0.0
66	0.0
67	0.0038
68	0.0714
69	0.0312
70	0.1
71	0.0208
72	0.0056
73	0.0016
74	0.0116
76	0.0
77	0.0
79	0.0
80	0.2
81	1.0
82	0.0
83	0.0128
84	0.0156
85	1.0
86	0.0312
87	1.0
88	0.0154
89	0.0333
90	1.0
91	0.0
92	1.0
93	0.0
94	0.0208
95	0.0208
96	0.0
97	1.0
98	0.25
99	1.0
100	0.3333
101	1.0
102	1.0
103	0.0037
104	0.0052
105	0.0
106	0.0
107	0.0014
108	0.0588
109	0.0
110	0.5
111	1.0
112	0.0141
113	0.0025
114	0.0161
115	0.025
116	0.1111
117	0.5
118	0.2
119	0.5
120	0.0625
121	0.0476
122	1.0
123	0.5
124	0.3333
125	1.0
126	0.0027
127	0.0103
128	0.5
129	0.25
130	0.0667
131	0.3333
132	1.0
133	0.0062
134	0.3333
135	0.5
137	1.0
138	0.0152
139	0.0345
140	0.05
141	0.0455
142	1.0
143	0.1
144	0.0
145	0.3333
146	0.5
147	0.003
148	1.0
149	0.0
150	0.3333
