query_id	recip_rank
1	0.5
3	0.0909
4	0.5
5	0.0016
6	1.0
7	1.0
8	0.0
9	0.25
10	0.0024
11	0.0909
12	0.0357
13	1.0
14	0.0294
15	0.005
16	0.0
17	0.0012
18	0.0227
19	0.0714
20	1.0
21	1.0
23	0.007
24	0.0021
25	0.0556
26	1.0
27	1.0
28	0.0076
29	0.25
30	0.0
31	0.5
32	0.0
33	0.3333
34	0.0
35	1.0
36	0.0217
37	0.0
38	0.1429
39	0.0
40	1.0
41	0.0303
42	0.1429
44	0.002
45	0.0
46	0.0052
47	0.5
48	0.0
49	0.0
50	0.0
52	1.0
53	0.3333
54	1.0
55	0.0
56	1.0
57	1.0
58	1.0
59	0.3333
60	0.0035
61	0.5
62	1.0
63	0.0
64	0.0025
65	0.0
66	0.0
67	0.05
68	1.0
69	1.0
70	0.1111
71	0.0263
72	0.0139
73	0.0043
74	0.0625
76	0.0021
77	0.0
79	0.0
80	0.1111
81	1.0
82	0.0
83	0.0074
84	0.006
85	0.3333
86	0.0217
87	0.0588
88	0.5
89	0.5
90	0.25
91	0.0
92	1.0
93	0.0
94	0.0031
95	0.0083
96	0.0
97	1.0
98	1.0
99	0.5
100	0.5
101	1.0
102	0.1667
103	0.0034
104	0.0051
105	0.0
106	0.0
107	0.0023
108	0.0909
109	0.0
110	1.0
111	0.5
112	0.0017
113	0.0068
114	0.05
115	0.0169
116	0.0054
117	0.5
118	0.013
119	0.3333
120	0.1667
121	0.027
122	1.0
123	1.0
124	0.3333
125	0.2
126	0.0035
127	0.0526
128	1.0
129	1.0
130	0.3333
131	0.0909
132	1.0
133	0.0526
134	1.0
135	1.0
137	0.5
138	0.0169
139	0.1429
140	0.0303
141	0.25
142	1.0
143	0.5
144	0.0
145	1.0
146	1.0
147	0.0125
148	1.0
149	0.0
150	0.125
