query_id	recip_rank
1	0.2000
2	0.3333
3	0.2000
4	0.1667
5	1.0000
6	0.2500
7	1.0000
8	0.0435
9	0.3333
10	1.0000
11	0.1111
12	0.2500
13	0.3333
14	0.1250
15	0.1111
16	0.0015
17	0.0032
18	1.0000
19	0.1250
20	1.0000
21	1.0000
22	0.0000
23	0.0014
24	0.0041
25	0.0500
26	1.0000
27	1.0000
28	1.0000
29	0.0667
30	0.0000
31	1.0000
32	0.0038
33	0.3333
34	0.0000
35	1.0000
36	1.0000
37	0.0000
38	0.2000
39	0.0000
40	0.2000
41	0.0588
42	0.0667
43	1.0000
44	0.3333
45	0.0000
46	1.0000
47	1.0000
48	0.0000
49	0.2500
50	0.0000
51	1.0000
52	1.0000
53	0.5000
54	1.0000
55	0.5000
56	1.0000
57	1.0000
58	1.0000
59	0.5000
60	0.1250
61	1.0000
62	1.0000
63	1.0000
64	1.0000
65	0.0000
66	0.0189
67	0.0909
68	0.1667
69	0.1667
70	1.0000
71	1.0000
72	0.1111
73	0.0667
74	0.0833
75	0.3333
76	1.0000
77	1.0000
78	1.0000
79	0.0085
80	0.1250
81	1.0000
82	1.0000
83	1.0000
84	1.0000
85	1.0000
86	0.5000
87	0.0303
88	0.2000
89	0.5000
90	0.5000
91	0.0139
92	0.1111
93	0.5000
94	1.0000
95	1.0000
96	0.2000
97	1.0000
98	1.0000
99	1.0000
100	1.0000
101	0.2500
102	1.0000
103	0.3333
104	0.2500
105	0.0000
106	1.0000
107	1.0000
108	0.5000
109	0.0208
110	0.5000
111	1.0000
112	0.2500
113	0.0333
114	0.0769
115	0.1667
116	0.2000
117	1.0000
118	0.5000
119	0.3333
120	0.0526
121	0.0115
122	0.5000
123	1.0000
124	1.0000
125	1.0000
126	1.0000
127	0.5000
128	1.0000
129	0.5000
130	1.0000
131	0.0345
132	1.0000
133	0.3333
134	1.0000
135	1.0000
136	1.0000
137	1.0000
138	0.2000
139	0.0833
140	0.3333
141	0.1000
142	1.0000
143	0.0714
144	0.0294
145	1.0000
146	1.0000
147	0.0769
148	1.0000
149	0.2500
150	1.0000
