query_id	recip_rank
1	0.2
2	0.3333
3	0.2
4	0.1667
5	1.0
6	0.25
7	1.0
8	0.0435
9	0.3333
10	1.0
11	0.1111
12	0.25
13	0.3333
14	0.125
15	0.1111
16	0.0015
17	0.0032
18	1.0
19	0.125
20	1.0
21	1.0
22	0.0
23	0.0014
24	0.0041
25	0.05
26	1.0
27	1.0
28	1.0
29	0.0667
30	0.0
31	1.0
32	0.0038
33	0.3333
34	0.0
35	1.0
36	1.0
37	0.0
38	0.2
39	0.0
40	0.2
41	0.0588
42	0.0667
43	1.0
44	0.3333
45	0.0
46	1.0
47	1.0
48	0.0
49	0.25
50	0.0
51	1.0
52	1.0
53	0.5
54	1.0
55	0.5
56	1.0
57	1.0
58	1.0
59	0.5
60	0.125
61	1.0
62	1.0
63	1.0
64	1.0
65	0.0
66	0.0189
67	0.0909
68	0.1667
69	0.1667
70	1.0
71	1.0
72	0.1111
73	0.0667
74	0.0833
75	0.3333
76	1.0
77	1.0
78	1.0
79	0.0085
80	0.125
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	0.5
87	0.0303
88	0.2
89	0.5
90	0.5
91	0.0139
92	0.1111
93	0.5
94	1.0
95	1.0
96	0.2
97	1.0
98	1.0
99	1.0
100	1.0
101	0.25
102	1.0
103	0.3333
104	0.25
105	0.0
106	1.0
107	1.0
108	0.5
109	0.0208
110	0.5
111	1.0
112	0.25
113	0.0333
114	0.0769
115	0.1667
116	0.2
117	1.0
118	0.5
119	0.3333
120	0.0526
121	0.0115
122	0.5
123	1.0
124	1.0
125	1.0
126	1.0
127	0.5
128	1.0
129	0.5
130	1.0
131	0.0345
132	1.0
133	0.3333
134	1.0
135	1.0
136	1.0
137	1.0
138	0.2
139	0.0833
140	0.3333
141	0.1
142	1.0
143	0.0714
144	0.0294
145	1.0
146	1.0
147	0.0769
148	1.0
149	0.25
150	1.0
