query_id	Rprec
1	0.1081
3	0.0541
4	0.0732
5	0.1500
6	0.2016
7	0.1266
8	0.0000
9	0.1321
10	0.0068
11	0.1212
12	0.0441
13	0.1000
14	0.0377
15	0.0000
16	0.0000
17	0.0000
18	0.0870
19	0.0656
20	0.3175
23	0.0000
24	0.0000
25	0.1795
26	0.0714
27	0.3333
28	0.0000
29	0.0000
30	0.0000
31	0.0000
32	0.0000
33	0.0769
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.0463
39	0.0000
40	0.0680
41	0.0000
42	0.0513
44	0.0000
45	0.0000
46	0.0000
47	0.1667
48	0.0000
49	0.0000
50	0.0000
52	0.6640
53	0.3599
54	0.3057
55	0.0135
56	0.5046
57	0.6091
58	0.5556
59	0.0768
60	0.0000
61	0.1442
62	0.4703
63	0.0000
64	0.0000
65	0.0000
66	0.0000
67	0.0040
68	0.1261
69	0.0000
70	0.1167
71	0.0660
72	0.0000
73	0.0000
74	0.0119
76	0.0000
77	0.4972
79	0.0000
80	0.1027
81	0.2182
82	0.0000
83	0.0178
84	0.0000
85	0.1208
86	0.1538
87	0.0062
88	0.0102
89	0.0429
90	0.1633
91	0.0000
92	0.0746
93	0.0000
94	0.0084
95	0.0109
96	0.0000
97	0.3500
98	0.4211
99	0.5179
100	0.0654
101	0.3030
102	0.1500
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0714
109	0.0000
110	0.3175
111	0.1872
112	0.0000
113	0.0000
114	0.0950
115	0.0459
116	0.0435
117	0.5385
118	0.2129
119	0.2538
120	0.0278
121	0.0160
122	0.4694
123	0.1412
124	0.2348
125	0.1366
126	0.0000
127	0.0090
128	0.0199
129	0.2439
130	0.0985
131	0.0714
132	0.5714
133	0.0000
134	0.0909
135	0.4972
136	0.2308
137	0.3438
138	0.0000
139	0.0864
140	0.1127
141	0.0625
142	0.3318
143	0.1905
144	0.0000
145	0.0519
146	0.0188
147	0.0000
148	0.0511
149	0.0000
150	0.1986
