query_id	Rprec
1	0.1171
3	0.0541
4	0.0488
5	0.0000
6	0.2016
7	0.1392
8	0.0000
9	0.1321
10	0.0068
11	0.1212
12	0.0441
13	0.0857
14	0.0943
15	0.0172
16	0.0000
17	0.0000
18	0.0290
19	0.0656
20	0.3333
21	0.4783
23	0.0071
24	0.0000
25	0.2308
26	0.0714
27	0.3333
28	0.0000
29	0.1667
30	0.0000
31	0.0000
32	0.0000
33	0.0000
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.0417
39	0.0000
40	0.1156
41	0.0000
42	0.0256
44	0.0000
45	0.0000
46	0.0000
47	0.0556
48	0.0000
49	0.0000
50	0.0000
52	0.2758
53	0.3419
54	0.2357
55	0.0000
56	0.3042
57	0.6091
58	0.5278
59	0.0800
60	0.0000
61	0.1058
62	0.4754
63	0.0000
65	0.0000
66	0.0000
67	0.0040
68	0.0450
69	0.0000
70	0.1167
71	0.0784
72	0.0000
73	0.0054
74	0.0079
76	0.0000
77	0.0000
79	0.0000
80	0.1062
81	0.1636
82	0.0000
83	0.0111
84	0.0132
85	0.1296
86	0.0000
87	0.0062
88	0.0204
89	0.0286
90	0.1531
91	0.0000
92	0.0597
93	0.0000
94	0.0084
95	0.0109
96	0.0000
97	0.3250
98	0.3947
99	0.4718
100	0.0467
101	0.0909
102	0.2500
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0639
109	0.0000
110	0.2955
111	0.1957
112	0.0000
113	0.0000
114	0.0452
115	0.0367
116	0.0435
117	0.5000
118	0.2039
119	0.2104
120	0.0278
121	0.0319
122	0.4286
123	0.0916
124	0.2261
125	0.1148
126	0.0000
127	0.0045
128	0.0132
129	0.2846
130	0.1081
131	0.0714
132	0.5714
133	0.0000
134	0.0909
135	0.4804
137	0.3542
138	0.0000
139	0.0370
140	0.0282
141	0.0781
142	0.3400
143	0.0762
144	0.0000
145	0.0741
146	0.2332
147	0.0035
148	0.0710
149	0.0000
150	0.1634
