query_id	Rprec
1	0.1081
3	0.1081
4	0.122
5	0.0
6	0.2248
7	0.2089
8	0.0
9	0.1509
10	0.0135
11	0.1385
12	0.0294
13	0.1
14	0.0566
15	0.0
16	0.0
17	0.0
18	0.0145
19	0.0492
20	0.3333
21	0.4783
23	0.0
24	0.0
25	0.1538
26	0.1429
27	0.3333
28	0.0
29	0.0
30	0.0
31	0.0
32	0.0
33	0.0
34	0.0
35	1.0
36	0.0
37	0.0
38	0.0324
39	0.0
40	0.1156
41	0.0
42	0.0256
44	0.0
45	0.0
46	0.0
47	0.0278
48	0.0
49	0.0
50	0.0
52	0.1997
53	0.3805
54	0.2166
55	0.0
56	0.1603
57	0.6273
58	0.625
59	0.0768
60	0.0
61	0.1923
62	0.5076
63	0.0
65	0.0
66	0.0
67	0.0066
68	0.0541
69	0.1875
70	0.1167
71	0.1087
72	0.0235
73	0.0054
74	0.0099
76	0.0
77	0.0
79	0.0
80	0.0616
81	0.1455
82	0.0
83	0.02
84	0.0
85	0.1296
86	0.0
87	0.0062
88	0.0816
89	0.0714
90	0.1429
91	0.0
92	0.0597
93	0.0
94	0.0084
95	0.0109
96	0.0
97	0.35
98	0.4737
99	0.5103
100	0.0561
101	0.0909
102	0.1
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0639
109	0.0
110	0.3468
111	0.2043
112	0.0
113	0.0
114	0.0633
115	0.0
116	0.0
117	0.4038
118	0.2379
119	0.2082
120	0.0185
121	0.0372
122	0.3673
123	0.2252
124	0.3043
125	0.071
126	0.0
127	0.009
128	0.0132
129	0.2927
130	0.0637
131	0.0714
132	0.6277
133	0.0246
134	0.1818
135	0.419
137	0.4688
138	0.0
139	0.0247
140	0.0704
141	0.125
142	0.2975
143	0.1067
144	0.0
145	0.1185
146	0.3083
147	0.0458
148	0.1392
149	0.0
150	0.181
