query_id	Rprec
1	0.1261
3	0.0811
4	0.122
5	0.0
6	0.2093
7	0.2025
8	0.0
9	0.1321
10	0.0
11	0.0952
12	0.0368
13	0.0857
14	0.0755
15	0.0
16	0.0
17	0.0
18	0.0145
19	0.0492
20	0.3175
21	0.4783
23	0.0
24	0.0
25	0.2051
26	0.1429
27	0.3333
28	0.0
29	0.1667
30	0.0
31	0.0
32	0.0
33	0.0
34	0.0
35	1.0
36	0.0
37	0.0
38	0.0231
39	0.0
40	0.068
41	0.0
42	0.0385
44	0.0
45	0.0
46	0.0
47	0.0278
48	0.0
49	0.0
50	0.0
52	0.3011
53	0.383
54	0.1783
55	0.0
56	0.2495
57	0.6455
58	0.6528
59	0.1005
60	0.0
61	0.1731
62	0.5093
63	0.0
65	0.0
66	0.0
67	0.0066
68	0.0721
69	0.1875
70	0.1167
71	0.0909
72	0.0235
73	0.0054
74	0.0079
76	0.0
77	0.0
79	0.0
80	0.1199
81	0.1818
82	0.0
83	0.0178
84	0.0
85	0.1296
86	0.0
87	0.0062
88	0.051
89	0.0857
90	0.1735
91	0.0
92	0.0597
93	0.0
94	0.0
95	0.0
96	0.0
97	0.35
98	0.4737
99	0.4821
100	0.0654
101	0.1212
102	0.15
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0639
109	0.0
110	0.4212
111	0.2
112	0.0
113	0.0
114	0.0543
115	0.0183
116	0.0
117	0.3846
118	0.2236
119	0.1627
120	0.0278
121	0.0904
122	0.2449
123	0.2176
124	0.2783
125	0.1639
126	0.0
127	0.009
128	0.0066
129	0.3699
130	0.0849
131	0.0714
132	0.6364
133	0.0164
134	0.0909
135	0.4693
137	0.4375
138	0.0
139	0.037
140	0.0423
141	0.1406
142	0.3518
143	0.1086
144	0.0
145	0.1185
146	0.3351
147	0.0458
148	0.142
149	0.0
150	0.181
