query_id	Rprec
1	0.0991
2	0.0701
3	0.1486
4	0.2195
5	0.1750
6	0.1938
7	0.2152
8	0.0345
9	0.2453
10	0.2770
11	0.1299
12	0.2647
13	0.4143
14	0.1321
15	0.1207
16	0.0000
17	0.0000
18	0.0870
19	0.0984
20	0.4762
21	0.5217
22	0.0000
23	0.0000
24	0.0000
25	0.1538
26	0.0714
27	0.5000
28	0.0526
29	0.0000
30	0.0000
31	1.0000
32	0.0000
33	0.1538
34	0.0000
35	1.0000
36	0.5000
37	0.0000
38	0.0833
39	0.0000
40	0.2109
41	0.0000
42	0.1795
43	0.1905
44	0.1579
45	0.0000
46	0.4211
47	0.1389
48	0.0000
49	0.2800
50	0.0000
51	0.6667
52	0.6862
53	0.5039
54	0.4841
55	0.4903
56	0.5264
57	0.6273
58	0.6528
59	0.1611
60	0.0833
61	0.3365
62	0.4584
63	0.1667
64	0.3341
65	0.0000
66	0.0000
67	0.0277
68	0.1802
69	0.1875
70	0.3667
71	0.2906
72	0.0941
73	0.0162
74	0.0298
75	0.1351
76	0.1029
77	0.4972
78	0.7350
79	0.0199
80	0.1370
81	0.1818
82	0.5945
83	0.2244
84	0.0921
85	0.3581
86	0.3077
87	0.0309
88	0.0714
89	0.1429
90	0.2959
91	0.0000
92	0.0597
93	0.2929
94	0.1765
95	0.0435
96	0.1250
97	0.4250
98	0.4737
99	0.5333
100	0.2523
101	0.1515
102	0.3000
103	0.3750
104	0.2778
105	0.0000
106	0.2836
107	0.3077
108	0.0865
109	0.0000
110	0.4322
111	0.5362
112	0.3171
113	0.0267
114	0.2715
115	0.2936
116	0.2174
117	0.4808
118	0.2844
119	0.3102
120	0.0648
121	0.0266
122	0.4082
123	0.3779
124	0.3565
125	0.3661
126	0.2143
127	0.1261
128	0.0861
129	0.3699
130	0.4595
131	0.0000
132	0.6277
133	0.5656
134	0.7273
135	0.3966
136	0.3077
137	0.4062
138	0.2063
139	0.1235
140	0.1972
141	0.1562
142	0.3518
143	0.2686
144	0.0200
145	0.2000
146	0.3914
147	0.1021
148	0.0938
149	0.0630
150	0.3603
