query_id	Rprec
1	0.1171
2	0.0514
3	0.0811
4	0.2195
5	0.175
6	0.1938
7	0.1329
8	0.0345
9	0.2075
10	0.25
11	0.1212
12	0.2647
13	0.2857
14	0.2075
15	0.069
16	0.0
17	0.0
18	0.087
19	0.0656
20	0.4762
21	0.5217
22	0.0
23	0.0
24	0.0
25	0.2308
26	0.0714
27	0.3333
28	0.0
29	0.1667
30	0.0
31	0.0
32	0.0
33	0.1538
34	0.0
35	1.0
36	0.3333
37	0.0
38	0.0648
39	0.0
40	0.2449
41	0.125
42	0.1538
43	0.119
44	0.1053
45	0.0
46	0.5526
47	0.1944
48	0.0
49	0.44
50	0.0
51	0.4167
52	0.5705
53	0.4807
54	0.4904
55	0.3822
56	0.5191
57	0.6091
58	0.5833
59	0.1081
60	0.0
61	0.2885
62	0.4414
63	0.3333
64	0.2845
65	0.0
66	0.0
67	0.0106
68	0.0811
69	0.0625
70	0.5667
71	0.2513
72	0.0941
73	0.0108
74	0.0298
75	0.0811
76	0.0743
77	0.4972
78	0.74
79	0.0133
80	0.0856
81	0.2182
82	0.4286
83	0.1533
84	0.0658
85	0.338
86	0.3846
87	0.037
88	0.0
89	0.0571
90	0.2755
91	0.0
92	0.1642
93	0.2879
94	0.0924
95	0.0217
96	0.0
97	0.4
98	0.4474
99	0.5154
100	0.2523
101	0.2424
102	0.3
103	0.4318
104	0.2222
105	0.0
106	0.2687
107	0.2692
108	0.1654
109	0.05
110	0.3504
111	0.4553
112	0.3171
113	0.0533
114	0.2579
115	0.3028
116	0.3043
117	0.4231
118	0.2487
119	0.2907
120	0.0648
121	0.016
122	0.449
123	0.1565
124	0.3478
125	0.388
126	0.1667
127	0.2072
128	0.1192
129	0.3211
130	0.5039
131	0.1429
132	0.5714
133	0.5574
134	0.5455
135	0.4972
136	0.3077
137	0.375
138	0.2381
139	0.1358
140	0.1831
141	0.0938
142	0.3471
143	0.2038
144	0.04
145	0.2296
146	0.3164
147	0.1127
148	0.0653
149	0.0704
150	0.3515
