query_id	Rprec
1	0.1081
2	0.0654
3	0.1486
4	0.1951
5	0.225
6	0.2093
7	0.1835
8	0.0345
9	0.2453
10	0.2703
11	0.1126
12	0.3051
13	0.5143
14	0.1132
15	0.0862
16	0.0
17	0.0
18	0.0725
19	0.082
20	0.4444
21	0.5217
22	0.0
23	0.0
24	0.0138
25	0.2051
26	0.1429
27	0.3333
28	0.0526
29	0.0
30	0.0
31	1.0
32	0.0
33	0.1538
34	0.0
35	1.0
36	0.5
37	0.0
38	0.0741
39	0.0
40	0.1565
41	0.0
42	0.1282
43	0.1429
44	0.1579
45	0.0
46	0.5789
47	0.1389
48	0.0
49	0.32
50	0.0
51	0.7222
52	0.7987
53	0.4936
54	0.4395
55	0.5579
56	0.5574
57	0.6455
58	0.6875
59	0.1514
60	0.0417
61	0.4135
62	0.4686
63	0.1667
64	0.1724
65	0.0
66	0.0
67	0.029
68	0.1802
69	0.25
70	0.5667
71	0.2923
72	0.1059
73	0.0135
74	0.0258
75	0.1351
76	0.0971
77	0.4972
78	0.735
79	0.0221
80	0.137
81	0.2182
82	0.6636
83	0.2111
84	0.0789
85	0.3581
86	0.2308
87	0.0494
88	0.0408
89	0.1143
90	0.2755
91	0.0
92	0.0746
93	0.197
94	0.2101
95	0.0543
96	0.125
97	0.45
98	0.5
99	0.5179
100	0.271
101	0.1818
102	0.35
103	0.2614
104	0.2963
105	0.0
106	0.1791
107	0.2692
108	0.1353
109	0.0
110	0.4567
111	0.5362
112	0.3659
113	0.0533
114	0.1357
115	0.4037
116	0.1739
117	0.3654
118	0.2648
119	0.2928
120	0.0463
121	0.0479
122	0.3061
123	0.3282
124	0.3043
125	0.3716
126	0.2778
127	0.1712
128	0.106
129	0.4715
130	0.5695
131	0.1429
132	0.6364
133	0.582
134	0.7273
135	0.3799
136	0.3077
137	0.3646
138	0.1746
139	0.1728
140	0.1972
141	0.125
142	0.3506
143	0.2229
144	0.02
145	0.237
146	0.4182
147	0.0845
148	0.1278
149	0.0889
150	0.362
